id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,LTB,PTB,RTB,SIM,T016B1_not_identified,T016BCG_not_identified,T016PPD,T027B1_not_identified,T027BCG_not_identified,T027PPD,T080B1_not_identified,T080BCG_not_identified,T080PPD,T095B1_not_identified,T095BCG_not_identified,T095PPD,T101B1_not_identified,T101BCG_not_identified,T101PPD,T104B1_not_identified,T104BCG_not_identified,T104PPD,T011B1_not_identified,T011BCG_not_identified,T011PPD_not_identified,T013B1_not_identified,T013BCG_not_identified,T013PPD_not_identified,T014B1_not_identified,T014BCG_not_identified,T014PPD_not_identified,T032B1_not_identified,T032BCG_not_identified,T032PPD_not_identified,T033B1_not_identified,T033BCG_not_identified,T033PPD_not_identified,T047B1_not_identified,T047BCG_not_identified,T047PPD_not_identified,T051B1_not_identified,T051BCG_not_identified,T051PPD_not_identified,T107B1_not_identified,T107BCG_not_identified,T107PPD_not_identified,T108B1_not_identified,T108BCG_not_identified,T108PPD_not_identified,T166B1_not_identified,T166BCG_not_identified,T166PPD_not_identified,T173B1_not_identified,T173BCG_not_identified,T173PPD_not_identified,T176B1_not_identified,T176BCG_not_identified,T176PPD_not_identified,T035B1_not_identified,T035BCG_not_identified,T090B1_not_identified,T090BCG_not_identified,T090PPD_not_identified,T142B1_not_identified,T142BCG_not_identified,T142PPD_not_identified,T163B1_not_identified,T163BCG_not_identified,T163PPD_not_identified,T164B1_not_identified,T164BCG_not_identified,T164PPD_not_identified,T165B1_not_identified,T165BCG_not_identified,T165PPD_not_identified,isotopes
1,M1056T8059,2.10074528600458,2.21847310153632,0.0353114059385475,2.72974237474239e-4,1055.58624937634,1055.58493772323,1055.58908898899,8059.1088,8044.4256,8068.8978,20,7,9,1,3,2293881.71275629,20646932.7895338,841949.3142006,22225276.8907778,4328281.45985616,9675273.80272967,371562.921386732,14336734.9326975,7718658.95818802,6609827.25222851,1002713.20612243,8213666.40629918,4819323.89206465,3752524.52921755,10748846.1928822,1652246.30229313,254819.632718988,253939.110126834,10275104.3289497,27361468.9363321,34078086.3829459,963533.863815071,10581725.7345715,26587526.242445,1433374.21742829,233546.831610725,32096427.9761312,321114.712666987,3198650.6736238,0,21583463.1973242,17724671.4780128,23495921.2056402,18336672.3388141,22982178.3526596,303343.430016132,1392233.86251779,980635.427707049,322819.658391501,0,25913.5108466311,0,24501986.336699,425925.284713037,180861.418837272,0,0,288184.497409829,0,54190.8264687499,0,0,0,0,30250940.610033,12874364.1923895,1917886.20898918,7780701.43236661,7242801.46158655,1505721.99451838,11512.653576714,0,33115.579357703,0,92710.9856941436,0,96751.7767125016,51977.0226248441,0,0,132435.116174369,
2,M858T7831,2.22379242732789,-2.21256147450779,0.0372731195206428,0.17801527555338,857.758242617364,857.757054669005,857.761670985176,7830.6846,7818.1872,7848.8442,21,10,8,1,2,35314751.5167889,45479674.3282506,1310151.42911305,22820770.9272484,6235282.53517447,28519261.2695681,3359772.05307441,43483819.8017149,15245664.1242636,31575780.1792768,4008711.3704753,16347033.9286499,12740683.068327,7064789.88635259,15464087.8366148,74924943.5718547,990238.411057108,1856214.64128024,1131110.42034471,23342249.5517118,6197483.53942907,516911.550759382,24646320.5189895,6355663.74746363,1002856.19063461,720363.546087138,10756919.3220373,723171.645132781,12391523.6785223,2543717.24021068,10783216.8674321,14325591.1761547,17705006.8654288,3211277.70882078,21465276.1551513,7098544.94472469,2276146.2606107,1066178.73560352,5160239.52988569,567157.854910249,491734.991222564,0,105073332.297201,840629.77311047,2461499.00930215,405136.463347515,135694.553311508,3056072.20143766,23077.6814962334,201596.360565005,70597.0682192325,191840.921391842,3789211.29627221,190198.940771907,10103231.636183,97843647.9654411,7489935.57131087,6671644.611886,14207110.8570927,848676.964598271,416829.070638013,50193.6943118498,327616.405990044,1498624.81298757,618847.029882332,0,2313829.66355012,772113.423374986,155017.303696005,411657.703393482,1322170.32901528,
3,M856T7829,1.99854850781892,-1.97543051373415,0.059643377642657,0.179287504803978,856.422680939822,856.421946407881,856.426201565321,7829.4429,7818.507,7841.523,20,9,7,1,3,94981750.5435824,118981677.516969,1870052.34937534,55508882.487753,18616430.5050102,75888879.1814045,4620241.42138823,136093439.13765,44857294.3938296,78413567.0536792,14331037.2319432,29850774.5100688,36120067.0795715,20535263.5225136,40449502.8176138,184238932.888509,1683044.7325238,7995875.43222203,1645329.2094517,62993731.9411824,16193555.0280097,1638711.05463869,68599767.1624805,15450276.0647471,1972749.62825877,1490887.75371688,30214728.0550074,1290126.00824912,36328532.9483192,4601393.48971141,32390249.4105613,57349578.7178703,60327413.3041445,11017928.0907083,58738377.839256,20625460.8378266,4647497.30784148,1729483.71185117,23184897.1538662,3105695.85872711,1299799.26461875,832629.671343762,267609194.629055,1018889.9028757,5570281.07213421,5600237.33010682,371443.444591752,17953161.0128313,1492228.6155317,2209064.16855885,395227.049947667,1283527.28676005,1207951.54128936,382270.43783316,13581123.1739193,254159780.602279,21921443.1221283,18872532.9871992,37898052.2103079,973889.870720643,2069838.84643932,766688.618277044,1190385.95256375,1344507.47879458,4631241.45315218,1889220.47175,296288.968814193,1787872.8538518,200503.194271249,437133.554506676,2363954.21964275,
4,M442T2829,1.71149182101427,-1.89203154745056,0.0678697073751269,2.63014841225192e-4,442.244672977581,442.244123844818,442.245182872221,2829.20682,2813.76036,2847.00678,33,9,11,2,4,53229308.6657182,8111247.02895702,193752138.449213,124504332.305561,337433627.227668,145410563.241761,339279134.940187,73097160.0093867,11683804.4755341,178447567.648308,39335430.3446698,151197380.191269,136831669.554506,94171748.9973753,164963343.253844,4811307.00745132,208369576.56041,90764200.1005013,75383655.6454365,45681810.7479612,21709146.536387,43701945.4206968,216856365.25232,125051450.727247,75431695.3801811,828014.631044564,71004069.6452905,1823904.41441733,18377818.5826602,20931998.569876,91370844.8375213,255261898.168431,54899480.7316462,117299391.237502,132049882.115351,8559119.96861895,68223058.9337493,48405834.0659774,5224326.78194876,6312365.58769781,13983022.8050666,30510061.7013285,17569797.8378999,1249076.19876698,1165718.94678505,2805675.54938348,23064908.6587278,267914992.409078,52061327.6891577,5982716.05399245,13886120.1588497,2913206.96371833,14151034.1407696,16541014.20787,99104014.3571938,136597082.585367,79193802.9605699,6389941.1641998,108940108.558859,9309216.12369228,1900042.64059148,2277869.0254055,1987935.11065082,7174233.85849329,7933353.09654057,12295036.4793576,6171418.29743649,40074566.8072467,10161585.3472837,23189970.8174161,32030168.2880086,
5,M459T4536,2.38842892426478,1.80208192516848,0.0852458920461119,0.207445200757734,459.279510095364,459.278547819796,459.280364858192,4536.1794,4525.48974,4551.70542,17,2,0,9,4,1374905.36048632,2022548.58595551,21184584.3493066,12311033.384941,2200889.99417755,1705379.12750661,15391707.3470123,3256552.98473887,278065.510640314,2974164.99595411,9212314.1529077,96773.7035271816,113351.812043332,1188740.45424574,6576702.4281535,3263750.63165199,6402529.89608492,769283.810429918,61328029.64409,3269363.36644753,979390.435981705,15584297.879004,5191550.22992299,75752.88840687,6137993.33031714,5816114.60157288,3605406.46079912,31501548.1170426,3737025.14500028,13466378.6491875,30225988.3715537,13836938.8591956,976847.329518725,8322394.78551392,6845842.78092425,4829868.10043236,6712179.67954629,188886.650412991,5325126.34637477,544150155.133444,45156807.92851,62738534.1895386,2083959.93909983,4693419.07094726,1286403.81966938,102438910204.689,1839677990.35508,66630184967.9939,539003927.648685,24175186.3094757,520054037.621177,35191154.9724505,1664177276.79182,238604971.200523,4005402.62212227,2782276.24730105,58983777.9020484,11820347.1677822,3948048.74386684,65049354.3448269,3066259.76123828,1507643.91104673,29481861.6894829,1831853266.82691,73972589394.6128,69207100486.0274,2300045916.83915,1719961658.91827,800817515.509958,612182447.269073,1358181816.53583,
6,M1168T8193,2.57343902837925,1.63827572297961,0.117730407237127,0.331927490131375,1168.08702261312,1168.08464429863,1168.08836671861,8192.5554,8178.2268,8204.8002,20,6,10,1,3,1820729.7991537,1229382.68669654,4618416.82174003,13286773.6795176,9310771.21820424,17319792.2273037,329914.500020089,6174983.123667,23501740.2646725,12877725.865702,13297424.899969,5417601.92241065,4684366.31893755,6320576.9868158,2546924.7470091,102974.548421144,113012.97192737,407405.817689633,8019913.64888252,1386459.36035124,14537243.7609694,338438.128125261,6290455.54131972,48127829.5420052,106515476.984001,279882.365941411,1896149.15807411,201975.991262181,2747308.83009185,512737.84384271,35882200.814571,12249510.4504832,26065723.0677559,43683717.898989,8051874.90072145,673874.323903124,97053584.2340848,1925720.79456055,827490.904335214,0,48134.7598562034,0,21341667.1628287,548097.037607816,787962.959012197,0,0,0,0,0,0,0,0,0,34163222.1723645,9129733.29246202,12749635.896293,69233894.0582804,22788419.3501287,0,0,0,0,0,0,0,0,0,0,0,0,
7,M1166T8233,2.6528828425907802,1.58456859123874,0.129027840305305,0.00346118343749625,1165.55852846064,1165.55707952925,1165.56104818645,8232.8322,8219.4648,8238.798,16,3,10,0,3,7042877.43894741,8004172.35983106,927310.897815458,13976650.020009,6084221.22544974,11535988.9109647,294760.274339287,1572904.70294032,4832440.23704713,1512013.92620849,1633175.25866849,9598952.89241434,39648.0157952584,104029.457890288,357845.112990715,58833.3630495254,247277.419466072,233219.510715551,1584456.01673571,2992832.22825756,13237523.3579502,207452.348707808,39760107.5925319,27814571.3618399,519068.088329901,195282.673880023,12216645.6495226,109761.990816546,157254.398295588,165706.076836595,1003760.27189828,11941655.4185464,57703928.7690008,6847240.37458017,3653913.7652745,434285.992855203,742942.915726391,405852.207006545,689075.431481246,0,23460.8245099054,0,3955106.75235169,266266.925018382,681007.235547553,0,0,0,0,0,0,0,0,0,5921319.47286534,577155.275798189,2429256.53585481,1213760.07830477,1216868.96285529,0,0,0,0,0,0,0,0,0,0,0,0,
8,M1226T8191,2.19912851114548,1.53383449174967,0.136551604023357,0.0088163628572528,1225.91934680124,1225.91690202073,1225.92125855297,8191.2495,8178.9324,8197.7628,16,4,9,0,3,4118227.09962202,7511996.68604983,12684094.6858708,1163938.39206807,2918878.91600443,5521073.64341553,728032.398146229,1617170.90444478,36251781.6011477,4763959.91444816,1739532.23172276,3888430.39066085,630859.223657378,5147663.44784018,550575.786053772,261008.796353913,714245.231498312,447683.610399994,1540338.19228767,4115097.84508222,2897551.08887517,523042.347070297,20558697.4070789,12590084.7573529,49069566.6624045,387431.609932337,3896923.44553808,192619.414872665,331889.302569599,6784041.82186838,4197456.83675986,9669612.57198811,43546073.6303722,18625432.5953209,2920210.0758462,17525058.4641061,3926785.90802376,720802.162748251,6111299.5792785,0,8866.57034905244,0,2407034.17683078,531335.722212052,10189864.3551997,0,0,0,0,0,0,0,0,0,18965737.7253381,8612525.4776062,7882188.99021688,5815074.37121279,4777955.90576184,0,0,0,0,0,0,0,0,0,0,0,0,
9,M1166T8231,2.45068505145282,1.50999562776496,0.146464748982588,0.00316459497282658,1165.95900884056,1165.95686612342,1165.96112822343,8231.3316,8219.4648,8238.8412,17,5,10,1,1,6311947.61998522,12106405.3576838,676364.992095705,11699469.9827808,4804026.05994908,13062600.2117409,114742.128756818,2425250.94637772,2610562.11195747,1454569.22244027,1569709.15328641,8549369.7552506,696688.504088604,198042.88095372,736255.940655472,257774.319522282,46720.1817358124,343811.939168458,1813973.68363289,3991366.5736861,11680745.3674982,372892.887310007,34315709.2373247,25533283.142278,668068.016437129,260345.971085264,11244846.0796464,184243.320990988,1896232.2281662,47677.8746913296,774353.949891512,9883905.69185663,53921989.9274094,5550264.51255639,3362621.69699668,321396.078959151,820014.878649617,429697.623756381,439572.155814664,0,89160.1085270135,0,2731363.77799884,115993.178888669,609504.837316039,0,0,0,0,0,0,0,0,0,5562062.49984896,617415.838766366,1691880.80183013,947950.032766731,1615171.71592697,0,0,0,0,0,0,0,0,0,0,0,0,
10,M1166T8232,2.45604976584968,1.47927351590111,0.154729007504659,0.00445192464080064,1165.75815432094,1165.75684494189,1165.76077553234,8232.2646,8219.4648,8238.798,17,5,9,1,2,7498299.48827568,15607569.8388818,242817.341846068,12731267.7550826,6536375.09566006,15411845.489836,319308.251678526,2621322.83721092,7255947.51706775,1943357.5658184,2531592.82561844,9822195.7318963,188923.0271951,136104.266107553,1048243.63246431,141868.956340543,0,335125.09135164,1854729.66471672,4463285.90160617,14099719.7680641,360660.47924511,42383777.6755858,32172566.2774042,743159.104277807,294521.601344152,12437718.1747492,111606.949381297,1112252.61677407,53560.5088400902,919368.722384515,13160638.7988645,70107990.2434435,7957091.2125526,4704907.95705507,284679.729664379,914747.193561645,559720.409927902,620909.736210943,0,22819.62504939,0,5036896.60277363,626231.673249619,341321.2771846,0,0,0,0,0,0,0,0,0,7854960.75703969,910697.888584213,1989210.3818292,1361661.94320361,1649299.75435101,0,0,0,0,0,0,0,0,0,0,0,0,
