id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,B1,BCG,PPD,T011B1_not_identified,T013B1_not_identified,T014B1_not_identified,T032B1_not_identified,T033B1_not_identified,T047B1_not_identified,T011BCG_not_identified,T013BCG_not_identified,T014BCG_not_identified,T032BCG_not_identified,T033BCG_not_identified,T047BCG_not_identified,T011PPD_not_identified,T013PPD_not_identified,T014PPD_not_identified,T032PPD_not_identified,T033PPD_not_identified,T047PPD_not_identified,isotopes
1,M365T3603,9.968086934,-8.056705764,1.51E-05,7.75E-08,365.2465198,365.2464011,365.2468477,3602.63728,3596.06176,3611.87292,5,4,0,1,58155478.35,57078955.75,76967930.7,53887335.54,44699331.05,44217196.44,386200.0644,306864.2115,506775.8372,23899952.01,8144890.094,363193.6064,193407.2778,152942.2469,12807806.77,8191964.726,98635.54693,6123112.267,
2,M799T4969,8.401312154,-7.698398524,1.84E-05,1.04E-07,799.3257247,799.3248734,799.3259107,4968.76424,4968.49446,4975.21644,3,3,0,0,11160312.4,6713773.165,12319331.14,9137668.79,9719580.607,8180325.269,828102.8342,0,385617.1149,442242.5444,4672686.165,483500.4822,14167.11171,680969.6533,2408822.681,226152.1065,569224.3829,315318.0792,
3,M657T5504,8.609156562,-8.343308056,1.25E-04,1.42E-06,656.7588993,656.7580962,656.7597586,5503.6439,5502.88242,5509.3437,4,0,3,1,48195883.27,35388140.98,67344257.46,57063436.69,74479697.34,57913036.75,3265966.016,13052430,11495800.62,4343082.1,7380212.546,0,330473.3075,2287642.438,2136480.724,34405026.72,1377108.547,1677775.159,
4,M596T6296,5.000284103,-5.995927067,1.40E-04,5.58E-05,595.9732322,595.9709051,595.9741377,6295.5456,6291.808,6298.0626,7,2,2,3,23562528.43,18209285.72,20539987.35,28996445.2,18579531.73,16467340.81,14316478.24,1297274.188,1442473.257,684004.0732,4416775.005,3112583.256,2218589.715,5312584.434,15838465.46,2600209.173,9081519.52,3822244.859,
5,M1127T6277,5.226740942,6.278080478,1.45E-04,0.176333712,1126.541887,1126.541073,1126.542934,6277.0938,6267.6224,6284.3312,5,0,2,3,537942.5598,246058.1598,0,1654152.383,1249976.275,2699605.686,6378332.404,5103302.829,6203032.122,2832704.023,6524398.878,6345266.127,1540427.765,37168295.83,2251462.7,1110386.106,41901813.49,0,
6,M464T4399_1,2.022374552,5.865374183,1.66E-04,0.102539546,463.5433497,463.5425458,463.5435802,4399.21838,4397.91116,4405.66022,3,0,0,3,822881.2711,1453636.107,1768847.045,2082683.144,1054227.848,1484765.89,2686020.605,3616269.911,3119940.576,2986805.176,2509036.112,2609931.392,1982154.699,7057325.535,4233015.024,1784698.594,5072924.371,91240.73625,
7,M366T3602_2,7.05757282,-5.765077128,1.82E-04,3.43E-06,366.2494678,366.2492899,366.2498403,3602.09418,3599.48938,3607.20312,3,3,0,0,2780981.086,2502347.495,4697249.297,2561300.532,2953344.483,3470487.422,0,114316.2607,176064.8799,334115.2098,0,2062788.754,5655.846267,166223.413,429408.2152,836336.2172,37858.65474,376038.7373,
8,M519T5415,5.379484298,-5.969151292,1.85E-04,4.05E-05,518.8968171,518.8959807,518.8973418,5415.20462,5407.94532,5419.50588,7,6,0,1,13632340.29,12702879.22,20197527.57,11200231.25,9672237.73,14552539.47,399009.2748,1663124.906,476141.1168,6525849.088,5496061.001,675058.5487,44428.00134,608027.7968,6177625.334,8439467.985,430701.5039,317011.8544,
9,M532T6388,9.399412837,-6.409789032,2.23E-04,1.53E-06,531.6024805,531.602321,531.6027739,6387.5756,6384.6466,6391.2298,6,4,0,2,68611780.1,39085257.81,102410498.8,73185524.13,95089213.33,93103899.21,5850143.621,3811741.544,5395659.512,0,34671853.1,431839.0511,2049355.05,10330173.56,24399535.6,7709598.622,5853829.734,637350.5826,
10,M532T6385,4.555878865,-6.220777184,2.27E-04,8.93E-07,532.2711655,532.2707309,532.2722953,6384.714,6384.0218,6390.4078,5,4,0,1,25037267.58,18205775.66,38483425.37,36877858.78,36303987.01,37856384.02,2458201.926,1498245.736,8530698.503,11104710.17,14306030.3,4413312.614,645862.7901,7280024.658,7822874.59,2331022.524,1959523.517,0,
11,M697T6281,5.333521506,-5.61268555,2.28E-04,2.24E-04,696.6612272,696.659413,696.6618063,6280.921,6277.0012,6285.5982,5,4,0,1,13085866.9,9845224.423,18912215.59,15115984.56,9748086.253,12957225.91,1593221.329,407922.1398,143718.3027,8580966.74,823872.6447,3386885.028,40897.94132,1897384.232,11875444.84,3825770.671,381981.6856,412447.0704,
12,M856T5525,4.328670727,-5.882043178,2.29E-04,0.010854508,855.9582338,855.9578381,855.9601996,5525.10358,5519.56128,5530.69302,7,4,2,1,25654811.8,41376706.55,39969264.96,31679077.94,28685748.86,36751976.98,3983889.317,18522074.79,0,4654728.297,19552958.69,441145.3564,0,795730.6502,6662826.755,55034221.65,212392.4985,0,
13,M680T6278,3.46545741,-5.919609185,2.31E-04,8.84E-05,679.6967011,679.6952341,679.6986913,6278.4682,6277.6592,6287.9178,6,1,3,2,19295866.49,13075594.17,18292361.5,18875370.52,13978170.49,19652244.53,5261903.782,2104394.012,11979083.2,1241540.022,1879956.256,7303971.278,731531.2481,14019377.34,4477048.907,1031103.258,4111376.429,771183.7922,
14,M679T6280_1,34.55272281,-8.869333228,2.52E-04,4.34E-06,678.6979126,678.6952825,678.6990842,6279.655,6275.6876,6287.1126,5,0,1,4,300339664.7,267991675.6,391401213.3,452257901.6,241899627.5,452374829.8,1227165.486,9377710.901,752381.1592,13527582.83,33672575.41,2400585.235,2527385.747,244306610.2,165884637.1,30016447.99,60661177.04,13553267.16,
