mzmed,T016B1,T016BCG,T016PPD,T027B1,T027BCG,T027PPD,T080B1,T080BCG,T080PPD,T095B1,T095BCG,T095PPD,T101B1,T101BCG,T101PPD,T104B1,T104BCG,T104PPD,T011B1,T011BCG,T011PPD,T013B1,T013BCG,T013PPD,T014B1,T014BCG,T014PPD,T032B1,T032BCG,T032PPD,T033B1,T033BCG,T033PPD,T047B1,T047BCG,T047PPD,T051B1,T051BCG,T051PPD,T107B1,T107BCG,T107PPD,T108B1,T108BCG,T108PPD,T166B1,T166BCG,T166PPD,T173B1,T173BCG,T173PPD,T176B1,T176BCG,T176PPD,T035B1,T035BCG,T090B1,T090BCG,T090PPD,T142B1,T142BCG,T142PPD,T163B1,T163BCG,T163PPD,T164B1,T164BCG,T164PPD,T165B1,T165BCG,T165PPD
314.217071,15553655,476062,585972,15019291,5321717,1537723,1172433,231934,96745,532673,1228474,442741,4414245,59189,4533873,399693,633532,264759,24449988,101587,964199,920504,29379014,119268,13812011,1599470,1018975,1711937,28170841,3714395,419908,4052666,132691,561161,8181898,0,21827607,123166,25710,20512773,89680734,3612307,16365177,1583796,1299540,98977664,1882357,19807927,16460481,733082,56891682,1420534,87529031,33293916,304894,457490,12016308,1804331,689074,89175863,1424938,3703643,1471892,2503678,6755893,21903027,163739770,63491998,39799513,53935935,40912303
391.193232,22037336,444057,15584722,66873854,702255,485704,4678534,11084772,4641464,2157794,5350789,325994,469265,911232,5038765,4192414,19281555,4905126,102337786,1522815,172681,52705793,9885282,650466,92240661,1139309,1027779,11133385,4206977,22273438,747591,2790162,167297,1557883,4760168,9819074,2148867,4662691,13535932,2909738,34579182,33303560,733829,2768803,7514079,686118,135314482,74450870,72868299,78554017,103991583,160990839,102619700,143922884,2855159,1140143,3579080,4514439,2917362,49523858,11947538,3145218,96637532,230975708,2568163,1682936,137663894,92298785,88353023,19194432,92780849
396.992125,12602974,5678,0,404925576,45647564,8068028,0,123835,8326436,4616,3355357,1489668,29679,137310,3066685,457364,3571,3999,25381,0,2036,0,12700148,1595921,5635,0,0,6081,87720729,65963,6272206,10172366,137353,7811804,47327184,5859,88885928,9000,0,64221762,4818,0,4602,2051,0,33121051,0,2802788,0,0,15222,74490253,0,0,1835574,17827988,214642,392804,32823790,0,108469,305560,25101825,4425,19294056,37120438,0,0,2166,0,0
397.242847,11447720,0,6790,363328434,41177560,7641508,236293,187805,7571623,57025,3227833,1294339,30102,133964,3144983,577478,6700,3113,42461,2115,23936,13243,11706676,1252392,39398,32275,14493,14151,78222639,25284,5214649,9313751,126983,7030637,42751149,0,80197687,0,9358,56277612,98563,132205,21148,7590,17773,29532811,105556,2058447,14377,2602650,127645,70466076,108227,203302,1602979,16688878,929398,496208,29709912,286336,778754,1540111,36882031,133328,16434779,33687870,77580,211515,124275,181410,198803
399.238672,4914492,157185,3095,29894002,507998,2110499,1995346,1359018,989219,18551869,113652,8425498,28645498,3882715,97091326,26023232,4251,2457,33724958,46219,158605,2350,973683,10223958,12714020,14000,873872,9768,6657034,5229,436604767,2293625,33807,2167658,2259352,4220,55333433,2217,2585,2756132,507469,490031,177060,2578,6297,2780958,591604,999613,56223,1713742,718142,22680119,579691,723653,7674319,37748334,71945524,273653440,38160555,743805,800598,709570,15481847,679724,2951787,9907875,601653,719830,505117,814034,694242
399.572869,3209975,69262,0,18875687,206908,849963,0,592165,650306,11706599,37180,5461000,19807450,2711216,57234589,12464716,0,0,20506399,19582,66851,0,469559,6386934,8112645,2568,136079,0,4058674,0,277536787,1445618,0,1380427,1295127,0,34949751,0,0,1418324,0,0,100491,2038,0,1444728,0,45038,0,22997,0,2567869,0,0,4836867,23176587,46320183,151638519,23558639,0,224697,34146,3114672,0,1569268,4627019,0,0,2557,0,8478
403.890982,5371042,6266,4372,11300689,37977586,24445675,0,7749,1081394,19374412,30077,3211085,1523164,350328,93227,11325,3101,31498,287269,0,5825,49685,2552246,1169249,42096,5084,0,142521,4713743,110395,22037578,41450404,2560,117603187,336485003,3942,1380661,4185,0,1517654,52900937,5056,2321973,7018,10240,826711,107262,64078229,2493676,0,31034637,3391963,16167325,49950442,10179566,113483995,135052,481817,39974011,25180270,1149894,2124652,109822,31243,3948146,2696547,62692894,8064652,26947184,23443575,22303259
441.910347,204889827,11238253,1204769,341273971,1099978919,271525936,788194,111103018,16366914,178252117,222601977,40193319,40399230,17643074,431720694,11581343,264460,113738437,221927988,35709754,21948750,540777,224150184,96994055,95000876,622010,236923008,540634,18753662,3595694,96717788,51754888,149573403,56624416,168323526,269018,100451915,191629880,143479,23031067,76349343,501148641,285215791,161766,96777,20183842,18942009,78290797,566545,351118,29526758,649372,23579223,31246375,76813235,150377314,40468556,22029064,81685027,38924072,2751948,1468045,639420,37751543,52556761,32938399,69913029,83510085,16207456,57759506,61430412
441.910354,25306566,2383667,101059005,34802535,91968910,171907527,115789113,19708445,13347362,240417102,11138917,37663169,98521367,38744310,38672360,1684238,114918746,66116930,16550045,7813638,2798995,47571431,32942260,52277825,7549433,180048792,23996545,129860474,23789607,47000060,84949320,117303402,32944809,68264215,52318236,57204624,18448462,99041646,57239901,140048654,4655818,5554145,49779006,91694057,43650569,58514124,1233831,540563836,255102,1985378,6641144,424052,2918014,1237412,273520686,98478227,59986357,51617754,5427083,7299324,2104294,735308,94629,2043064,242208152,78214516,3120298,3227934,2423700,1652852,2864585
441.910474,53760951,5463884,124436856,79828119,155976546,194295393,78590048,35655302,8530556,142338371,40818724,146568365,40905106,41925642,112589964,8529236,70695311,276835558,49299497,18523928,6513432,26683063,79551867,108383866,23972715,367719149,61129813,142761421,61344651,148815620,144727772,256636067,83728679,99808389,104939222,39373682,87691455,81439236,34211003,108604111,5457794,11321857,126776785,745788447,72445821,3321265,0,796509927,0,2692374,552063,793123,1003314,3488274,90481684,121852490,79232390,54425487,79240435,8186542,1970368,2142299,762593,496004,148580240,105544951,1216195,18305112,450084,2648540,12731650
