Category,T016B1,T016BCG,T016PPD,T027B1,T027BCG,T027PPD,T080B1,T080BCG,T080PPD,T095B1,T095BCG,T095PPD,T101B1,T101BCG,T101PPD,T104B1,T104BCG,T104PPD,T011B1,T011BCG,T011PPD,T013B1,T013BCG,T013PPD,T014B1,T014BCG,T014PPD,T032B1,T032BCG,T032PPD,T033B1,T033BCG,T033PPD,T047B1,T047BCG,T047PPD,T051B1,T051BCG,T051PPD,T107B1,T107BCG,T107PPD,T108B1,T108BCG,T108PPD,T166B1,T166BCG,T166PPD,T173B1,T173BCG,T173PPD,T176B1,T176BCG,T176PPD,T035B1,T035BCG,T090B1,T090BCG,T090PPD,T142B1,T142BCG,T142PPD,T163B1,T163BCG,T163PPD,T164B1,T164BCG,T164PPD,T165B1,T165BCG,T165PPD
Polyketides,22037336,444057,15584722,66873854,702255,485704,4678534,11084772,4641464,2157794,5350789,325994,469265,911232,5038765,4192414,19281555,4905126,102337785,1522815,172681,52705793,9885282,650466,92240661,1139309,1027779,11133385,4206977,22273438,747591,2790162,167297,1557883,4760168,9819074,2148867,4662691,13535932,2909738,34579182,33303560,733829,2768803,7514079,686118,135314482,74450870,72868299,78554017,103991583,160990839,102619700,143922884,2855159,1140143,3579080,4514439,2917362,49523858,11947538,3145218,96637532,230975708,2568163,1682936,137663894,92298785,88353023,19194432,92780849
Fatty Acyls,11447720,0,6790,363328434,41177560,7641508,236293,187805,7571623,57025,3227833,1294339,30102,133964,3144983,577478,6700,3113,42461,2115,23936,13243,11706676,1252392,39398,32275,14493,14151,78222639,25284,5214649,9313751,126983,7030637,42751149,0,80197687,0,9358,56277612,98563,132205,21148,7590,17773,29532811,105556,2058447,14377,2602650,127645,70466076,108227,203302,1602979,16688878,929398,496208,29709912,286336,778754,1540111,36882031,133328,16434779,33687870,77580,211515,124275,181410,198803
Fatty Acyls,4914492,157185,3095,29894002,507998,2110499,1995346,1359018,989219,18551869,113652,8425498,28645498,3882715,97091326,26023232,4251,2457,33724958,46219,158605,2350,973683,10223958,12714020,14000,873872,9768,6657034,5229,436604767,2293625,33807,2167658,2259352,4220,55333433,2217,2585,2756132,507469,490031,177060,2578,6297,2780958,591604,999613,56223,1713742,718142,22680119,579691,723653,7674319,37748334,71945524,273653440,38160555,743805,800598,709570,15481847,679724,2951787,9907875,601653,719830,505117,814034,694242
Fatty Acyls,149504802,7043268,1609376,215421981,154550123,92762864,4537778,58891313,40451181,88473938,171885939,10621710,19370760,26877728,359066068,8094412,1314822,255676755,84039728,23383558,14432728,1736770,177241857,44089043,57464637,435177,702089161,5314793,32375110,4299013,235739022,64154455,8302922,7591435,83784213,837550,49592972,28732325,842233,11227358,143298833,445068589,234879193,869219,1286384,14288687,47075685,16794558,1665215,2934770,30597340,30983164,39975484,31022526,27392106,43894294,369403042,132479984,21568990,88621281,2356960,1148042,22848601,112928239,43488467,12793161,114826285,102883438,17153384,50355400,71122552
Fatty Acyls,15906055,1350889,13011979,18727959,79021729,58507572,150897880,12030684,3733306,53471423,7204250,22525560,10644092,17677945,23129124,830678,93910303,37215754,10887079,4858833,2027517,32990920,20111885,38687317,4707713,69749323,86406291,208750954,12606242,259063951,99930425,73471380,22416567,4759856,31169316,44567693,11439622,36398238,45144336,175177660,4112630,7008161,31049305,86142469,42466212,63474630,2839833,319402123,5023070,1253930,7434632,720975,40625588,5378371,32335963,57901719,41094483,36694843,17547109,35912056,31489173,553574,877170,1860084,112605193,105205712,1950124,2266620,2394052,1708862,2304887
Fatty Acyls,76063240,6671762,2093487,156335244,250748939,469960789,986145,74267512,5103037,131680377,75298418,21918933,38143517,18895560,346009771,6476495,711427,45131203,86183070,25025319,14884653,517573,147705963,45679628,53505968,807068,146366608,1610284,115190248,9554122,71372680,234053059,101498620,5083759,117251358,1029870,46097386,15166700,883230,13932677,29808831,112219567,160829740,784604,541439,10686050,12816151,68410080,2685916,0,14401202,864985,11494127,14874282,12906596,152312070,46848214,28193975,60113878,23442872,1118804,1118645,357075,17383807,43002908,10104397,26650252,45853362,10739325,29284398,34131956
Fatty Acyls,53229309,8111247,193752138,124504332,337433627,145410563,339279135,73097160,11683804,178447568,39335430,151197380,136831670,94171749,164963343,4811307,208369577,90764200,75383656,45681811,21709147,43701945,216856365,125051451,75431695,828015,71004070,1823904,18377819,20931999,91370845,255261898,54899481,117299391,132049882,8559120,68223059,48405834,5224327,6312366,13983023,30510062,17569798,1249076,1165719,2805676,23064909,267914992,52061328,5982716,13886120,2913207,14151034,16541014,99104014,136597083,79193803,6389941,108940109,9309216,1900043,2277869,1987935,7174234,7933353,12295036,6171418,40074567,10161585,23189971,32030168
Fatty Acyls,38739965,3802862,70595333,45668390,347655381,123892955,58315240,46945461,5584749,97574283,36456411,31853143,21798749,51563668,76256673,2705634,33865984,23792918,32258902,11387982,5094779,13362162,50921646,46216866,27185000,233548915,32440469,172534609,38088100,90333344,95186861,492393454,54185071,52997641,68739558,19866583,19235590,50963502,21597355,5694264,3864427,7541816,79393175,378510136,28433266,20283794,1605251,355354229,4018032,18160450,58384161,3068091,3958215,4197611,55317816,294329792,66461875,6351313,48987146,4769564,1492971,935570,3126123,1734715,72242720,49455243,9648291,14996206,64070393,5112571,13254807
Fatty Acyls,64052773,4159439,68042869,75770890,179159249,19333144,414983285,41781845,7279070,392047578,42739374,74890079,53593118,3293926,202176012,3219670,168093363,65651877,43923367,14567747,7782596,23470757,100766963,53462768,17322647,28128397,144636583,90045528,62925867,807476472,98041481,48427380,74654098,80613524,94221989,157482954,41109502,47026414,32796872,13316396,14251155,14099483,102230171,4340904,527726,7687397,248212210,30667354,5014697,2715762,4546939,1115373,5243903,10442664,62007936,132479303,80639990,50251192,112422419,5800056,2034187,1052313,2034214,7707530,21459488,25088149,4932425,27819071,5361549,11305246,21169300
Fatty Acyls,5732207,58933,1547423,9371758,7602029,9309205,3319877,346019,409381,608984,288236,474896,239266,43056,899035,86752,90055,36304,465844,148422,312586,2681800,7847325,3788335,847258,55230,2238825,379114,3361493,1083828,3425296,10276260,1762419,1098700,4513912,132509,2019252,27238,40955,2696551,18743019,28550,204014,40797,0,2003002,28913983,8126981,282017,1260368,436304,115207674,28634200,359741,49967,5500478,1567686,1482976,3712320,9918218,960671,83877,53293720,1641607,5559935,2491980,10978498,290941,111629,275560,394133
Sterol Lipids,2950494,49094,0,28773349,47394905,17713710,47163,29137,15034895,71214,50525,2378424,514193,37646,53066,32124,0,0,117407,0,68473,0,42328971,5363002,2081285,0,2107,0,5148259,0,1326121,16350934,586335,1185094,10053105,0,3482331,0,0,69232,38083,11125,0,0,0,149084,10741,253102,9033,144381,25652,4733409,23613,21855,273415,7764624,3717732,5836535,12642769,117453,64909,88990,11608403,29655,302569,129447,19345,19374,51585,16897,19907
Glycerophospholipids,17264364,25067,0,109673638,33194586,11384335,3225,61645,228360,6242994,148930,1663314,1634192,193949,1786298,143346,8212,0,1597582,0,5212,2590,15199384,1762624,1103153,0,33620,0,46607508,3712,7108775,10876312,250176,10931665,43551815,3162,19337794,0,2849,943675,7523,8799,1106453,0,0,2069354,11055,390585,5782,2419952,6402,11337340,4889,0,2113541,25280461,1794857,2021589,13218367,21804,875920,2060574,7963115,6549,2400856,110973,2798,7245,0,0,2749
Glycerophospholipids,831016,0,48839,2011517,85350486,33373127,1684667,10514,9508458,3155757,5535,1870296,349123,850215,66806,0,509480,0,666822,0,14564,907208,33332849,13559751,10364,341841,4132,1042782,1583478,515250,6552365,41453025,448068,1546648,6762485,1124289,371403,0,720417,840618,6416260,8920,762689,368368,759705,0,6074,417121,0,0,0,0,1286797,0,0,186679,17285,49192,54354,1032126,0,0,0,6258,0,0,2174350,0,0,18018,13982
Glycerophospholipids,17545468,543155,0,61643467,680733629,212468979,0,706684,32843903,5203166,137831,7848565,512986,68436,1962080,34052,2082,0,2103936,10561,355481,0,17305147,14511350,388696,0,1799332,0,48301707,0,31728463,48640856,1741450,3821714,26806089,0,62204730,0,0,53235,5059,0,2119857,0,0,129686,0,1030952,2289,0,0,6569298,0,0,493716,16254104,2631966,1191137,5947580,2927,26845,0,0,2133,74054,60695,0,0,0,0,0
Sterol Lipids,9368184,285922,2178,29561832,334781144,95509684,0,778152,20380561,2472311,33058,3593599,245215,41441,999809,6628,9492,0,1485246,18824,190925,0,9753559,8109124,209744,2174,562566,0,19967694,0,13852860,21742093,770647,2243312,15499800,0,34263700,0,4198,3447,0,0,1543688,0,2807,17789,2219,540526,0,0,0,0,3466,2520,322494,9509418,1337004,749888,1887695,4574,0,28886,0,0,48629,39880,5161,0,2294,6381,0
Glycerophospholipids,4431621,82174,0,24377148,218169644,64970695,0,496358,13611582,1656739,19321,2270472,157231,10382,601710,3502,9992,0,1019641,8615,99939,0,6303613,5319194,158374,0,316034,0,13171469,0,9178675,15014908,472474,1379140,10708549,0,22435544,0,0,0,0,0,939202,0,0,17223,2318,269404,8441,0,0,0,0,0,227131,5406577,2656622,1225982,1111615,6599,0,0,246953,2058,11581,35017,2113,0,0,0,0
Fatty Acyls,0,0,0,0,0,0,0,0,0,0,30871,0,0,0,0,20645,2106,0,0,0,0,0,0,0,287388,0,2527,0,0,0,0,0,0,0,0,2706,0,0,0,0,0,0,0,0,0,44485,0,3803657,0,43652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59312,153426,0,0,0,2063,0
Sphingolipids,3319645,440684,0,25745809,30786103,5916613,0,211276,585447,961264,62346,1207567,131939,945168,223056,26780,0,0,418779,224759,25819,0,67636708,12231461,661322,4134,33838,0,3061628,0,1790664,10730723,399067,2115869,14118768,0,8708103,0,3447,1401399,0,0,657694,2807,0,720699,4577,1555458,0,3543372,0,1556991,0,0,306638,9784956,2037260,1102715,1150733,8379,4585695,958849,2529282,0,2428168,3239881,3118,4613,0,2063,0
