id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,LTB,PTB,RTB,SIM,T016B1,T016BCG,T016PPD,T027B1,T027BCG,T027PPD,T080B1,T080BCG,T080PPD,T095B1,T095BCG,T095PPD,T101B1,T101BCG,T101PPD,T104B1,T104BCG,T104PPD,T011B1,T011BCG,T011PPD,T013B1,T013BCG,T013PPD,T014B1,T014BCG,T014PPD,T032B1,T032BCG,T032PPD,T033B1,T033BCG,T033PPD,T047B1,T047BCG,T047PPD,T051B1,T051BCG,T051PPD,T107B1,T107BCG,T107PPD,T108B1,T108BCG,T108PPD,T166B1,T166BCG,T166PPD,T173B1,T173BCG,T173PPD,T176B1,T176BCG,T176PPD,T035B1,T035BCG,T090B1,T090BCG,T090PPD,T142B1,T142BCG,T142PPD,T163B1,T163BCG,T163PPD,T164B1,T164BCG,T164PPD,T165B1,T165BCG,T165PPD,isotopes
1,M1056T8059,2.100745286,2.218473102,0.035311406,2.73E-04,1055.586249,1055.584938,1055.589089,8059.1088,8044.4256,8068.8978,20,7,9,1,3,2293881.713,20646932.79,841949.3142,22225276.89,4328281.46,9675273.803,371562.9214,14336734.93,7718658.958,6609827.252,1002713.206,8213666.406,4819323.892,3752524.529,10748846.19,1652246.302,254819.6327,253939.1101,10275104.33,27361468.94,34078086.38,963533.8638,10581725.73,26587526.24,1433374.217,233546.8316,32096427.98,321114.7127,3198650.674,0,21583463.2,17724671.48,23495921.21,18336672.34,22982178.35,303343.43,1392233.863,980635.4277,322819.6584,0,25913.51085,0,24501986.34,425925.2847,180861.4188,0,0,288184.4974,0,54190.82647,0,0,0,0,30250940.61,12874364.19,1917886.209,7780701.432,7242801.462,1505721.995,11512.65358,0,33115.57936,0,92710.98569,0,96751.77671,51977.02262,0,0,132435.1162,
2,M858T7831,2.223792427,-2.212561475,0.03727312,0.178015276,857.7582426,857.7570547,857.761671,7830.6846,7818.1872,7848.8442,21,10,8,1,2,35314751.52,45479674.33,1310151.429,22820770.93,6235282.535,28519261.27,3359772.053,43483819.8,15245664.12,31575780.18,4008711.37,16347033.93,12740683.07,7064789.886,15464087.84,74924943.57,990238.4111,1856214.641,1131110.42,23342249.55,6197483.539,516911.5508,24646320.52,6355663.747,1002856.191,720363.5461,10756919.32,723171.6451,12391523.68,2543717.24,10783216.87,14325591.18,17705006.87,3211277.709,21465276.16,7098544.945,2276146.261,1066178.736,5160239.53,567157.8549,491734.9912,0,105073332.3,840629.7731,2461499.009,405136.4633,135694.5533,3056072.201,23077.6815,201596.3606,70597.06822,191840.9214,3789211.296,190198.9408,10103231.64,97843647.97,7489935.571,6671644.612,14207110.86,848676.9646,416829.0706,50193.69431,327616.406,1498624.813,618847.0299,0,2313829.664,772113.4234,155017.3037,411657.7034,1322170.329,
3,M856T7829,1.998548508,-1.975430514,0.059643378,0.179287505,856.4226809,856.4219464,856.4262016,7829.4429,7818.507,7841.523,20,9,7,1,3,94981750.54,118981677.5,1870052.349,55508882.49,18616430.51,75888879.18,4620241.421,136093439.1,44857294.39,78413567.05,14331037.23,29850774.51,36120067.08,20535263.52,40449502.82,184238932.9,1683044.733,7995875.432,1645329.209,62993731.94,16193555.03,1638711.055,68599767.16,15450276.06,1972749.628,1490887.754,30214728.06,1290126.008,36328532.95,4601393.49,32390249.41,57349578.72,60327413.3,11017928.09,58738377.84,20625460.84,4647497.308,1729483.712,23184897.15,3105695.859,1299799.265,832629.6713,267609194.6,1018889.903,5570281.072,5600237.33,371443.4446,17953161.01,1492228.616,2209064.169,395227.0499,1283527.287,1207951.541,382270.4378,13581123.17,254159780.6,21921443.12,18872532.99,37898052.21,973889.8707,2069838.846,766688.6183,1190385.953,1344507.479,4631241.453,1889220.472,296288.9688,1787872.854,200503.1943,437133.5545,2363954.22,
4,M442T2829,1.711491821,-1.892031547,0.067869707,2.63E-04,442.244673,442.2441238,442.2451829,2829.20682,2813.76036,2847.00678,33,9,11,2,4,53229308.67,8111247.029,193752138.4,124504332.3,337433627.2,145410563.2,339279134.9,73097160.01,11683804.48,178447567.6,39335430.34,151197380.2,136831669.6,94171749,164963343.3,4811307.007,208369576.6,90764200.1,75383655.65,45681810.75,21709146.54,43701945.42,216856365.3,125051450.7,75431695.38,828014.631,71004069.65,1823904.414,18377818.58,20931998.57,91370844.84,255261898.2,54899480.73,117299391.2,132049882.1,8559119.969,68223058.93,48405834.07,5224326.782,6312365.588,13983022.81,30510061.7,17569797.84,1249076.199,1165718.947,2805675.549,23064908.66,267914992.4,52061327.69,5982716.054,13886120.16,2913206.964,14151034.14,16541014.21,99104014.36,136597082.6,79193802.96,6389941.164,108940108.6,9309216.124,1900042.641,2277869.025,1987935.111,7174233.858,7933353.097,12295036.48,6171418.297,40074566.81,10161585.35,23189970.82,32030168.29,
5,M459T4536,2.388428924,1.802081925,0.085245892,0.207445201,459.2795101,459.2785478,459.2803649,4536.1794,4525.48974,4551.70542,17,2,0,9,4,1374905.36,2022548.586,21184584.35,12311033.38,2200889.994,1705379.128,15391707.35,3256552.985,278065.5106,2974164.996,9212314.153,96773.70353,113351.812,1188740.454,6576702.428,3263750.632,6402529.896,769283.8104,61328029.64,3269363.366,979390.436,15584297.88,5191550.23,75752.88841,6137993.33,5816114.602,3605406.461,31501548.12,3737025.145,13466378.65,30225988.37,13836938.86,976847.3295,8322394.786,6845842.781,4829868.1,6712179.68,188886.6504,5325126.346,544150155.1,45156807.93,62738534.19,2083959.939,4693419.071,1286403.82,1.02439E+11,1839677990,66630184968,539003927.6,24175186.31,520054037.6,35191154.97,1664177277,238604971.2,4005402.622,2782276.247,58983777.9,11820347.17,3948048.744,65049354.34,3066259.761,1507643.911,29481861.69,1831853267,73972589395,69207100486,2300045917,1719961659,800817515.5,612182447.3,1358181817,
6,M1168T8193,2.573439028,1.638275723,0.117730407,0.33192749,1168.087023,1168.084644,1168.088367,8192.5554,8178.2268,8204.8002,20,6,10,1,3,1820729.799,1229382.687,4618416.822,13286773.68,9310771.218,17319792.23,329914.5,6174983.124,23501740.26,12877725.87,13297424.9,5417601.922,4684366.319,6320576.987,2546924.747,102974.5484,113012.9719,407405.8177,8019913.649,1386459.36,14537243.76,338438.1281,6290455.541,48127829.54,106515477,279882.3659,1896149.158,201975.9913,2747308.83,512737.8438,35882200.81,12249510.45,26065723.07,43683717.9,8051874.901,673874.3239,97053584.23,1925720.795,827490.9043,0,48134.75986,0,21341667.16,548097.0376,787962.959,0,0,0,0,0,0,0,0,0,34163222.17,9129733.292,12749635.9,69233894.06,22788419.35,0,0,0,0,0,0,0,0,0,0,0,0,
7,M1166T8233,2.652882843,1.584568591,0.12902784,0.003461183,1165.558528,1165.55708,1165.561048,8232.8322,8219.4648,8238.798,16,3,10,0,3,7042877.439,8004172.36,927310.8978,13976650.02,6084221.225,11535988.91,294760.2743,1572904.703,4832440.237,1512013.926,1633175.259,9598952.892,39648.0158,104029.4579,357845.113,58833.36305,247277.4195,233219.5107,1584456.017,2992832.228,13237523.36,207452.3487,39760107.59,27814571.36,519068.0883,195282.6739,12216645.65,109761.9908,157254.3983,165706.0768,1003760.272,11941655.42,57703928.77,6847240.375,3653913.765,434285.9929,742942.9157,405852.207,689075.4315,0,23460.82451,0,3955106.752,266266.925,681007.2355,0,0,0,0,0,0,0,0,0,5921319.473,577155.2758,2429256.536,1213760.078,1216868.963,0,0,0,0,0,0,0,0,0,0,0,0,
8,M1226T8191,2.199128511,1.533834492,0.136551604,0.008816363,1225.919347,1225.916902,1225.921259,8191.2495,8178.9324,8197.7628,16,4,9,0,3,4118227.1,7511996.686,12684094.69,1163938.392,2918878.916,5521073.643,728032.3981,1617170.904,36251781.6,4763959.914,1739532.232,3888430.391,630859.2237,5147663.448,550575.7861,261008.7964,714245.2315,447683.6104,1540338.192,4115097.845,2897551.089,523042.3471,20558697.41,12590084.76,49069566.66,387431.6099,3896923.446,192619.4149,331889.3026,6784041.822,4197456.837,9669612.572,43546073.63,18625432.6,2920210.076,17525058.46,3926785.908,720802.1627,6111299.579,0,8866.570349,0,2407034.177,531335.7222,10189864.36,0,0,0,0,0,0,0,0,0,18965737.73,8612525.478,7882188.99,5815074.371,4777955.906,0,0,0,0,0,0,0,0,0,0,0,0,
9,M1166T8231,2.450685051,1.509995628,0.146464749,0.003164595,1165.959009,1165.956866,1165.961128,8231.3316,8219.4648,8238.8412,17,5,10,1,1,6311947.62,12106405.36,676364.9921,11699469.98,4804026.06,13062600.21,114742.1288,2425250.946,2610562.112,1454569.222,1569709.153,8549369.755,696688.5041,198042.881,736255.9407,257774.3195,46720.18174,343811.9392,1813973.684,3991366.574,11680745.37,372892.8873,34315709.24,25533283.14,668068.0164,260345.9711,11244846.08,184243.321,1896232.228,47677.87469,774353.9499,9883905.692,53921989.93,5550264.513,3362621.697,321396.079,820014.8786,429697.6238,439572.1558,0,89160.10853,0,2731363.778,115993.1789,609504.8373,0,0,0,0,0,0,0,0,0,5562062.5,617415.8388,1691880.802,947950.0328,1615171.716,0,0,0,0,0,0,0,0,0,0,0,0,
10,M1166T8232,2.456049766,1.479273516,0.154729008,0.004451925,1165.758154,1165.756845,1165.760776,8232.2646,8219.4648,8238.798,17,5,9,1,2,7498299.488,15607569.84,242817.3418,12731267.76,6536375.096,15411845.49,319308.2517,2621322.837,7255947.517,1943357.566,2531592.826,9822195.732,188923.0272,136104.2661,1048243.632,141868.9563,0,335125.0914,1854729.665,4463285.902,14099719.77,360660.4792,42383777.68,32172566.28,743159.1043,294521.6013,12437718.17,111606.9494,1112252.617,53560.50884,919368.7224,13160638.8,70107990.24,7957091.213,4704907.957,284679.7297,914747.1936,559720.4099,620909.7362,0,22819.62505,0,5036896.603,626231.6732,341321.2772,0,0,0,0,0,0,0,0,0,7854960.757,910697.8886,1989210.382,1361661.943,1649299.754,0,0,0,0,0,0,0,0,0,0,0,0,
