mzmed,T016B1,T027B1,T080B1,T095B1,T101B1,T104B1,T016BCG,T027BCG,T080BCG,T095BCG,T101BCG,T104BCG,T016PPD,T027PPD,T080PPD,T095PPD,T101PPD,T104PPD
300.52711,7034169,420320,0,1101795,144602,0,3077,69905713,2613,0,393879,0,0,89936989,6381895,23470023,3330,0
300.861418,2499039,6446413,0,647865,72925,0,4723,32996298,0,11101,287257,0,2056,44700615,3344739,11213234,3203,3454
301.195639,782265,23640495,186524,196685,199097,302679,108509,8986991,702346,155140,2742186,50804,65291,12188848,758759,3296215,214972,55307
303.192083,1498368,2181974,526135,10214437,955015,1411923,202834,4654761,212551,424458,10775853,75655,51047,9488715,178183645,199660568,106730,5523856
303.693873,276892,62770,14475,3386408,290617,45864,4316,814936,0,0,3545887,8038,17044,2517498,59248941,67711011,69476,1966104
308.828798,31641,0,0,758995,36077,0,6376,3754333,11477,0,540180,0,0,7923212,7760273,5701460,0,18331
309.163363,4108075,2809464,4920058,4297793,6612330,9611125,2501321,4132659,8515496,4736354,13602247,2058196,2533876,1992934,3487369,3045697,8306913,2286083
309.499396,789763082,33761887,19125,128196,26898339,5908663,3848834,367885358,5500220,6155085,0,0,12655,3223283,25927,13232,321132219,12512
309.499491,781990806,13712493,20562,45833,82987,5138611,2810362,213876599,3153990,4885743,0,0,2912,1437863,7432,0,283899154,0
309.833825,288432773,10651782,0,40551,19340389,1582294,1899748,104021461,2758455,1731365,0,0,0,1910131,95809,44448,36672894,18715
312.201495,15891178,60633006,100167,1884266,537004,45041,44485,296997,52118,829805,372494,37554,50538,64723,6608913,5213128,526470,5863359
313.697608,568415,0,40194,18032,0,0,0,9901972,0,0,4101,0,0,8099458,1864966,537891,3580,0
315.202915,3304615,351266,498939,529722,776446,445000,224644,39874895,471499,717263,389229,425938,179191,33066768,9606335,3149516,656484,179185
318.480046,26874,0,0,572852,20851,47344,0,660593,0,27375,1115857,0,0,7112013,3352186,2663270,36236,13320
318.814994,33777,55194,0,221860,0,0,4574,477300,0,0,296165,0,0,3943569,1642717,1907821,68358,8285
319.482776,0,0,24874,401777,0,0,0,211170,11014,0,0,11809,0,2985235,1657685,1730587,0,0
322.187332,904053,1927751,1596052,6130079,2907682,75144,102287,4487122,175815,2529606,520492,581155,681715,22948478,2280266,3398982,742507,1243804
322.438184,21747,968096,0,2250212,49663,0,0,9447586,0,4607,35724,0,75110,2680909,948245,530273,0,0
324.172027,135607092,4965455,275231,40690536,29913149,59935,1886585,150574453,282437,4192115,74947,35506,55798,172733724,87836,176475,594970,16761
324.206761,137892,8818960,3284762,1910716,109761,14570,3712,1202275,3387,611990,311002,9563989,9362050,954127,11513174,5995106,10599424,4594598
324.673509,41548178,3302876,475813,13013367,9244646,611300,569512,97628251,106306,173487,197104,590947,429105,62364488,389666,216650,257347,7672084
327.515082,10432335,19385573,4957,287540858,1726082,38636,0,125902036,3671,110201,817955,0,2685,24648945,7389307,9822902,176993,0
327.849414,4652962,10852333,0,159574951,848739,150004,15271,68430794,8088,33502,463009,0,0,12433277,4006500,5209816,31286,7798
328.183739,1306991,58514075,68354,48951714,199333,699231,4293,21060244,13215,36498,168572,0,5570,4051163,1169221,1764742,14678,8259
328.1962,9783778,12002335,15533061,69854167,21559064,23546,42781,52551286,547428,3954990,466516,3837450,3857025,268010300,29130551,3558579,21811929,2172841
328.220064,45079705,286556457,33213,21316902,5139439,187699,76610,11163200,275345,123338,3812985,7060,26235,14524157,152746624,21436264,840798,13036658
328.8469,239296,38287,0,300450,0,2374,9469,1378259,0,5019,32718,5584,8131,2264463,1559371,1907558,2944,5266
329.182116,3179093,1105517,352485,313357,271964,145935,68329,33163171,146988,147733,222342,78864,66195,28711929,8027460,2844542,200108,66586
329.206264,6152253,228839705,1657898,137993,152318,6554054,2336040,52392465,7488847,2335719,189063,397672,279997,64512393,193733,266066,11302833,175856
329.218101,84554341,245461026,4077369,27370268,12144032,6963351,8965938,107650849,9970094,4113212,470236,1088124,897179,192692491,429870,513517,16799523,746862
329.540306,6746008,117218684,32550,9059,5017,3341908,5896,2525856,215639,1249436,3937,31466,26969,0,9642,0,969630,6199
330.190511,0,0,93918,343343,0,46992,0,0,0,0,64520,0,14317,0,0,0,0,6354
330.685393,601357,498659,3533,7527394,135540,139092,0,12725731,33481,0,94677,0,0,6318914,1042903,1601989,10311,2827
330.936159,615789,1702224,3903,5245002,112524,8721,10481,8800193,11036,17587,76697,9216,16563,5335084,811749,1071668,34763,44494
331.179287,162802,403772,105393,174628,79740,79051,14972,679746,165842,45034,110797,22318,79952,8227896,708675,1092976,70895,34825
331.530598,26838098,791894,1131656,2568066,10179560,521684,843426,95052381,16855,262015,15339,1069903,250083,32828705,52719,23487,523008,17578
332.229143,207635,326297,25269,23763,25497,13097,0,1607426,26871,19979,14435,0,8372,10611445,1006564,1426957,2959,3371
333.65811,0,262141,149913,2018492,138667,0,0,210747,0,27659,1143125,0,24403,4066199,14728424,9814614,33276,1134012
334.679425,11149495,624687,11550,23605767,3840640,36835,10030,3305136,80989,0,0,0,0,5753889,4927,7820,80866,28433
336.205425,93478702,2761794,678828,8673514,11386995,24572,1616147,226530059,376331,1677342,26730,1294474,1042764,41580761,2217400,1763992,712463,378294
337.192592,3946405,14475308,905760,45059115,3433109,1371726,300008,12419023,10491474,1081616,17995624,24950,101010,5948145,8012653,4520006,6165014,299450
337.694161,385944,2171819,13007,15445959,526889,410255,41144,4147877,3340778,319473,5734469,0,13344,3306194,2804229,2752036,1927757,3090
338.183842,70512,1983974,12560035,642772,236901,0,99789,735672,192453,2512008,5383531,9647504,3719988,644377,5682084,9721512,8804479,3707093
339.850239,143748759,8175975,0,3997804489,1126792334,1819173,77472602,114139575,11935220,32474624,15343,79114,63121,227661614,11515129,648845,28548737,111669
341.180568,7169598,10305839,921761,2777218,410251,272529,32446,593406,485293,468202,161055,221716,379676,208845,766980,2548652,120452,278548
341.182227,5122484,3401953,1506400,330422,113096,84644,48005,43722899,748431,60143,109174,47650,215604,36140393,11785655,3717986,34116,32855
342.185953,495754,2414332,0,885138,42515,29868,37745,9117690,8689,1082567,263115,0,10894,0,0,0,16166,0
342.505364,4867111,7691709,74233,364281,163250,35424,4652,31691782,9908,28212,26537,0,0,29989710,1869631,5895913,4933,0
343.79136,239619,931584,0,924242,14319,0,40608,6181163,0,0,400444,65301,12046,1952193,1055384,626281,24108,475115
343.866022,14051477,7257877,0,87728094,689834,9833,0,29461881,0,277778,845705,2307,2333,6809635,2319620,7473968,108118,10498
344.200319,10709256,6021709,176031,52128907,495859,12543,0,15135616,12702,160392,1742122,76571,10201,4105296,1414416,4183140,131517,112284
345.942599,531303,8037394,0,385336,0,4487,2285,33912672,11848,7857,24188,2697,0,34040195,7017753,5539385,0,4285
346.183111,1690392,3111971,877254,112871,97687,10420,14682,3841900,53764,685763,51044,471754,880396,7880012,1361870,1337137,718392,212114
346.193322,122702,3451671,33544,290411,367703,111383,0,26187424,28828,4036,44876,0,37961,22309540,4819733,3918504,419721,10781
346.232934,32891541,120661118,493807,5190256,862879,20771,24546,474711,13321,75846,369975,233080,316548,1371147,1507884,10649600,225035,243280
346.444017,3722076,86952894,5090,112771,694708,2756,2804,10636534,23796,24573,104285,2079,0,9454948,2104266,1710508,23286,0
346.471816,3081818,3103481,0,5165684,15318,0,0,10209647,0,752949,27663,0,8358,5305813,1661769,10298475,7775,7545
346.80597,1375334,0,0,2095836,4020,0,2455,6022039,3275,0,10916,0,0,2525740,873139,5080919,0,0
347.167207,5949392,3064295,695417,10395468,757113,591028,184623,3601488,475073,467589,741196,302276,595415,5352172,781308,2321364,1807722,169871
347.203564,5774607,1163333,764187,1056594,523508,1042694,189674,41004853,540196,478359,915922,328352,448284,31697671,8965131,4824866,2062808,1327571
347.253875,189736,455058,163583,236107,1539631,2032451,32258,469911,347845,357933,896710,39783,114746,137941,63521,101588,1071988,23839
348.18639,2721501,2552224,726743,874206,150233,97380,18214,15279557,150131,78061,219811,45695,91781,11164654,2483387,1520586,193034,64382
348.196478,2007054,514846,615747,822398,88510,106450,17651,16881054,143502,66497,231389,45306,102000,15591538,4256936,1343916,186920,48480
348.207423,8222100,6039556,323889,84082,110748,64749,10752,0,47168,247913,0,26272,0,0,0,0,103822,46687
348.437086,292203,1065609,0,554551,29061,0,0,12506322,0,3089,7336,0,0,7856517,2078429,647617,3181,9295
351.177753,1374587,1665338,947963,3516117,124556,35463,8948,8168665,31396,26261,178331,7829,9927,5158535,1447990,1219642,26804,7437
351.683637,1261962,312777,2643,1987413,47586,2780,0,4397704,0,20709,3430,0,9220,134957245,43219462,6782292,10944,4306
352.185278,326234,2090830,223150,1068861,27108,29867,6500,120231724,637875,5472177,193851,17992,23962,45357614,14835062,2248647,1870649,4749
352.197866,492535,2119042,348307,7148298,587910,31647,105205,17668147,343230,10094349,3731293,281764,928961,20011821,11137930,9059877,10447996,1672510
352.534173,744745639,1283062273,921377,227231,132163,19545648,10919334,5075716138,70483279,141764864,44626,1902592,1370965,5785741461,224780,100198,637712768,147026
355.201628,46255276,13848329,50167880,222823,192684,617566,21389852,33986778,12075372,1546196,62861,924002,2253501,3276587,331864,83884,3496282,1162561
355.700548,9058713,1649481,18513,15254254,118477,20375,5137,53073877,4354,18443,194090,2695,40016,62013136,760222,6762996,12221,5177
356.437017,931526,286924,16467,19066,265523,13130,4031,18096003,6637,9812,30966,9695,13439,6981675,3694683,619117,5177,7899
356.687653,597668,91843,0,0,170132,0,0,8088855,3202,0,3783,0,0,4982189,2535627,413698,0,0
356.702729,142532,1069998,0,5290904,90341,465843,5857,12097921,22885,441247,1681895,59709,54202,29896862,8734126,5901485,132134,196736
357.184168,525714,3062722,2126277,3382570,1146125,480775,119665,15917288,3565775,662095,637816,995863,1250611,2517961,18007719,7191225,3582652,228500
357.2186,1025157927,488621505,3484183,276952380,2351744478,51016064,14907270,711911668,2260008,7191317,150812,294627,512985,79438493,16319556,3041416,556040862,7491725
357.218638,6965011,18421176,2905280,380551663,75120356,3406827,105042,8907760,27706,652748,3095786,149218,251693,28616431,37894394,128274806,17433566,3706268
358.221748,0,186168659,0,12509807,2548411,0,67771,792136,35227,24093168,193905,388200,11302567,12210244,2217322,9668302,27326622,1954049
359.203232,489787,15711210,13141004,9918931,3115414,3380720,1872984,5588632,27073363,20965516,1154636,4578078,121873304,5633243,1088358,479019,60055171,4141587
359.697868,10913226,584341,364016,4532545,33712146,4748,104249,12270864,15357,150522,254317,270783,17650,62098687,215331,261198,77893,7267621
360.180501,4196610,6755025,128413,4338474,211856,153674,31631,2222655,371835,146460,4136624,9874,16179,1630455,31585575,79336359,210841,12774
360.198669,769734,988311,108234,187444,93156,23952,2974,432780,75466,105502,145307,6223,30044,1108434,3717017,1240581,107635,456206
360.198867,3861695,3764951,199624,336289,941410,220033,585219,25066280,599124,26660123,586989,8270859,866444,13786227,643626,706175,10211460,6436624
360.532544,5245690,9258917,9205,3644075,989608,9238,13280,42612399,4562,6153,457699,0,12768,45203637,1517059,41866973,52828,0
360.866966,3091890,5180350,0,1925129,297600,100502,4617,26076170,6240,43959,405670,0,2870,25471795,875442,22915911,12308,5200
361.182858,8421519,30334316,5875268,5926039,2263530,276121,1539209,14661876,3763209,366212,166829,20041168,1850414,7235414,197511,254349,1515239,1325985
361.244385,31976950,5451701,247828,52070500,3401299,2010516,299821,135295613,1406949,25744750,938520,54998,675077,175377108,1195819,5246402,674906,1342414
361.449069,79327,127447,48280,4015194,26983,0,6285,1171156,0,29402,1308287,0,11466,2241923,33535450,58345759,55429,1255118
361.950417,0,2517064,89565,1107104,69692,0,31925,256128,12352,6704486,856723,175414,20012,309003,11312374,19238086,67482,8433285
362.200047,19372041,7432320,763056,107093801,11779496,204628,442524,11494651,830068,1294999,26481284,547622,406818,49545934,7304493,174328933,2089688,493965799
362.450778,1538234,404439,117890,47385357,3743686,92046,192785,8922742,505673,302479,19670754,143925,19669,30335869,645197,154203362,423066,80266559
362.450925,3458872,1570024,0,65959946,5584731,0,450737,19536016,1222249,372838,8206826,0,0,52216008,790624,157425546,2763090,41371424
362.701033,16905587,204808419,62587,114455177,53341343,88517,2356834,41643016,3514609,10910228,1842978,310575,198042,444329036,3375465,16054315,22164371,3487751
362.701608,10252273,7538895,0,53677368,5331145,21486,474075,18755770,1221857,601776,5203125,44088,1215808,54148943,3849990,21012374,3452564,19104791
362.709237,4195905,12028581,0,1079789,236901,10682,0,9975740,5256,24561,30200,100086,2405,8260667,1186834,744440,3991,2718
362.721012,100951240,2909505,5878,13790064,188490,0,19069,713465701,38614,24805,854967,196170,4223,461662111,2755832,163046249,79703,0
362.959901,2906475,6060193,9143,971991,149158,0,4710,9251257,2680,0,22842,60135,4939,7034321,989105,512817,0,5014
363.204162,33516011,12596266,1434429,376569954,6443464,1040170,810251,22351389,14887678,14167730,472434716,2530450,1351251,54116411,863792,230174,5676442,602069
363.204389,3256786,20959883,14735918,3569977,2066515,2569329,101404,5389757,672676,5660542,1119742,1672399,558385,7328840,3371762,860541,3557276,1523327
363.213368,1484175503,59958550,12952234,241569,601596,1437991,55364156,95144128,897213294,8589119,1696124,46005223,2226317,43932302,242085,107364,4297887,1267000
363.213583,9855473785,1227285305,12697254,590800,1199616,4478575,38723074,247958982,3424021296,35905828,5282715,140465845,61748738,39913005,2934723,2048768,21112916,3521716
363.233765,608980,32170701,670330,3119152,3483927,3219335,54824,3009954,813128,11257450,2440714,31898,76205,6673449,3477611,7103035,603828,5476619
363.547636,6188680357,889537984,9552904,569555,619311,1800125,26113585,150088334,2095571444,24581260,3813327,49045221,8446063,26481112,733400,525388,16094609,524273
363.548292,406915418,16510438,18184765,45720278,3559478,0,7160335,14876987,47816693,1360310,892937,6112773,291093,16425003,0,10758,5909589,402363
363.728923,303105167,36517631,34970,63126,35073546,475954,10846264,1490042843,4815823,6393938,89733,87156,10257,758917,0,27773,12502889,140915
363.881777,2084842561,259808750,1143495,150460,265155,169120,8189826,57915016,720944737,6843162,120710,11555552,8543763,8963843,333742,102167,3593067,2141547
363.882717,45343109,1003305,395778,7941172,1744800,0,390423,1286899,2531334,27141,0,135149,2384484,989797,0,0,0,0
364.216083,317980974,30768055,665011,386614,308563,277947,564238,10877090,163615454,738479,215448,1026143,16646843,306040,115717,112738,1114473,0
364.230428,117340854,24417145,792983,530376,18324947,266624,4260273,570708296,1257295,5199628,1424977,640112,621345,2965379,3674029,2607510,6456691,1462255
365.157079,82463998,200948249,334411,5186111,14106456,267810,37928,5783014,468093,2501253,1583707,47152,189748,6056808,23415826,22632905,1852681,2143705
365.173472,17838177,9533246,250673,38423648,7746033,392682,11536,12390303,318398,1676181,984997,43146,13914,18512130,3501445,9898835,459717,6700
365.190441,4247047,3529964,447901,730401,12079975,435727,17321,21196363,421353,2478567,1003947,73557,23207,11327828,10162982,880746,561017,23413
365.507713,19064788,7900793,0,22524357,1893629,39313,0,8095047,0,13532,418804,0,0,10349369,2098167,5908371,201486,0
365.684077,9919820,3139297,6846,740190,91178,0,8885,71439355,5337,8980,499990,0,11841,50674423,28020955,10639053,5527,0
365.842042,4413859,1307527,0,7462876,456867,11131,0,2160168,0,0,65356,0,4228,3341585,630696,1959272,7455,0
366.185396,1297506,4517828,2714435,163607,2196690,28855,0,9171329,17424,468446,163071,2964,8889,7896334,3232373,1326467,48417,65124
367.197468,1458627775,350097609,1908595,2766778,1242553,6449182,490736,19002489,592201,2101777,979566,357711,1192187,19501636,9272072,20974911,51658295,1528729
367.698869,229801447,128947622,2013648,1809689,7007157,2042871,9720,2424298,23504,55901,296385,694184,110944,2365954,1133650,604620,13501478,52918
368.691319,30703132,22987386,25881,1134330,1123750,1722140,28487690,544625666,17724398,1413015,124568,35103,317236,2208440,186366,312072,8728383,150503
368.87691,2578532,2902449,0,4135290,93389,0,7769,8238018,6143,20315,154657,2912,0,4068098,1716543,1104906,3273,13113
368.942028,16122340,32155797,99396,484121,179855,484746,19943416,458439197,17024418,873318,5694,93959,5035,292099,176276,70082,4754193,122861
369.192711,7338954,9402108,509825,2487870,5252921,814959,9082871,210845129,6177129,672114,348645,94327,165213,3139992,437063,451939,6859829,427720
369.443359,2213384,1326713,0,224005,111028,285799,2957720,60643205,2345908,62545,353509,137019,173935,0,146945,301066,541029,376755
369.950269,210336,2915876,4883,387792,2349769,12253,9374,777126,12074,195898,5319,9132,4550,64181021,1062450,650281,14435,21784
370.189133,73368963,172226895,3660693,388270,103775,1718552,23634138,169178657,75910872,13691679,6949476,1334409,869619,15269421,717733,679272,37609354,3443361
370.235439,5398535,3278328,119040,5167871,1226627,442937,59271,3487133,58232,1489529,41278,32054,808086,731272,475006,45117,4406282,83444
371.240288,1378077,1130874,13300089,4300530,900123,504340,34687,2823356,366189,270316,541284,516783,269041,4718317,4859085,6387270,189247,431643
374.194817,2843418,16831903,182144441,37320213,2281741,877690,228043,6714723,489044,304106,798718,62265334,14354666,32855701,724528,505141,1933606,3416377
374.216841,33350352,7887096,335973,3391206,643517,32073,64649,4093608,106729,692308,3670658,78775,19071,12936093,17433508,161389999,73538,37482
374.532565,144626015,62801321,37952,2749963,12328100,43759,11538375,196827453,8905180,1273267,232330,33960,1018761,160451962,167131,96443,7062054,771198
374.551174,20078143,0,0,2094282,12092,0,23439,1946815,6992,0,1784585,0,0,7716693,10481789,100540957,5262,0
374.698059,4658394,119025,428397,12856493,114996,11831,4213,9889363,2418,140988,158727,28817,6074,5222888,3399276,787462,44023,108403
374.867101,82067834,48684755,94904,1765642,5464825,125826,8014536,122427695,4530092,799744,596862,33717,2163433,57730810,30107,880066,4941307,2312262
374.885455,255537971,998098443,3070,383240,66279698,334442,99185,484669,501153,226027,141060,0,0,2233820,2882570,35239296,3470859,43275
375.214871,59003079,53482898,128511,107504726,4027457,101165,43389,299109155,57388,101040,3546700,0,19761,176157156,68923710,45374087,262528,7579
375.234857,7949160,123192678,4222075,25281451,4334245,744968,6684541,3816481,2293348,8179634,2461903,1030478,481956,6928491,11602672,31375850,158802624,5612695
375.946971,966148,4041639,11858,393599,148756,1159226,0,17002811,5206,121772,10800,2684,34659,31797357,5532156,691878,0,69390
376.197943,851333,3320171,590448,835574,678761,549552,138400,15160167,414923,504220,1002340,182533,255923,23575452,4059193,441695,632101,82717
376.530106,1956145,862692,13209,208308,165575,11439,1019638,20262328,1206651,212175,6462,128687,820735,343637,182089,15279,1338809,29697
376.904239,116767056,38514928,2493299,2419544921,603010563,2665839,178093467,1708059726,128561973,37631228,26626159,76739,256519,2563204068,25246,862158,92541931,631405
377.727081,2908958,513086,14431,279707,10083,278685,0,35435949,106692,105542,58572,0,2733,30897817,8538692,2445016,3235,0
378.229008,1851604,2295961,1521221,208940,154571,175220,4445,15336295,40884,68426,55827,13629,10110,12215877,3198271,970406,32554,21419
379.206504,87146693,8038632,297711,86881372,28326674,302172,389443,457436803,13229696,715444,583761,150966,121929,101072336,2720339,13528024,68767068,512526
379.206571,2477278,2158145,1169307,3790164,1603905,154390,268952,2140951,197250,2332943,0,773960,84087,1596630,314620,446768,1397600,434183
379.239901,10225060,5180976,6900885,20272250,2982671,344708,170704,3069758,134979,11868622,1034068,835374,1835020,1228196,4425007,1395161,829807,4952747
380.178269,1528668,887243,509771,27484,728127,173260,4230,5042093,80867,58013,249738,17724,31110,7689070,773774,956699,100326,8644
380.216384,14375966,11282860,553021,24097483,7371112,76408,74854,23600795,256096,1036980,46474,534217,639475,20933255,1454190,212812,2046630,312524
380.229237,8993232,166034915,5345413,66154769,23040265,155187,5987378,755705619,8912117,4206712,10968222,26027169,28726427,287422325,7159835,39067906,10659471,12269306
380.449366,110420065,277948094,3163,35250375,711865,29114,58074,1942939532,396409,57057,2010361,8699,3634,3700613251,515571314,87967841,336755,8753
380.462119,48792,0,48664,444813,335746,17877,1923722,57685029,3735753,138028,108697,29026,2730222,288767,83735,147905,170860,8795548
380.566894,6410427,312768,0,26343,8310,21189,907442,27193789,1095294,0,0,9106,8127,108913103,0,0,123134,0
380.699965,84685356,145149040,11859,27073776,388926,49687,49889,1494548654,1155963,47317,1743378,0,10430,2821685657,389727439,70101804,295924,0
380.700047,67729620,519678344,0,531764,2773699,630749,736268,5852731,8091242,211585,884188,0,11653,1876800634,130541515,8363840,1687814,0
380.712878,283469,3410797,0,296269,25874,83874,1713372,45532394,1142943,6560313,58030,57359,1708297,154685,2559978,11370,447692,744273
380.950587,36667413,44824287,50473,11534642,156818,22006,12142,678917541,63066,158153,598267,82279,11526,1268519271,177945304,30047884,85097,37775
381.206119,9182738,1774152,332102,1051120,208038,21916,2437,5827161,450254,65331,266509,4165,65258,19271069,38465024,10252346,110142,7184
381.702608,426947,591100,0,142914,0,0,0,13766767,40824,145210,3265,0,0,23657460,3182542,527563,0,0
381.716405,3526836,25486144,0,506021,3898374,0,17459,33051966,79757,4921804,6279,18289,9450,709259,30149,86147,1995051,0
381.856078,541923,79196995,0,6090838,203285,18452,10933,1997323,0,35009,224009,5478,0,3915591,197858,11187865,0,37709
382.416444,6373047,3804946,31454,2838800,357814,85942,52376,170998369,68252,49480,765104,64932,41905,52470692,729240,5819713,85667,43422
382.61712,5980431,4177926,0,2682676,416958,0,12255,179769758,22747,12117,859782,0,0,53783258,881002,5822498,69335,0
382.741036,28438496,73919678,658693,10477978,8512406,0,13006,26060718,653948,4334312,51683,23497,8862,37409279,4806879,12938006,3159005,194486
384.548282,483722,1001680,653351,211961049,30114856,1264529,22834,578297,1570272,4038043,602314,125049,461591,890757,3137436,3514441,6705312,184566
385.224179,27027499,23345283,301869,3039951,381704,142887,35685,14147653,171055,155113,1979488,786043,23273,2851768,1511075,640185,146023,45495
385.558343,2716548,2014867,0,110738,11034,6751,0,11174829,0,19465,97400,0,0,9741204,2241990,801631,12803,16716
386.202984,9092884,7260247,203719,121128,72925,24423,0,5442457,21574,44148,74571,268660,9315,3885930,934890,455975,28839,0
386.234538,38062626,90595621,233730,5756364,20947454,254526,138272,306858398,129159,2676929,929921,254258,42662,203763874,77675778,22511818,2750930,906525
386.438893,1094444,1249981,8525,45798,16787,0,3263,10461663,2253,23265,8426,13242,0,22943915,2516639,778750,3425,4313
386.533873,312361,23429647,312966,1964837,81050,0,0,4270292,119699,504433,80790,81975,92679,9331895,481927,961598,24957,7339
386.570207,110944304,6751389,0,17201,272560,77434,42372863,419677033,29943516,1291298,12118,0,14527,1629947198,28335,0,7779355,0
386.689421,786821,1111298,0,80222,0,0,0,6498997,0,0,0,0,0,15236407,1978446,553052,0,0
386.703099,18412,2734473,0,771332,5292,8869,0,5482435,26812,273339,6525,0,0,4471180,513248,2029976,0,114526
386.723125,169997056,85052313,759519,2545452492,60208769,3242653,13628690,514342382,3049974,5966376,3706041,270432,277884,1183161530,7042649,96339267,3405956,19436603
386.723192,11036240,12085369,0,78627463,5902187,446547,271905,12372101,314735,173032,1619633,94448,65460,20667199,13886794,13557342,554399,5599515
386.875336,28495192,6097768,15796,4464320,245835,24709,44076,37788066,98873,83458,1310892,3399,1104987,103044751,286765899,98410354,132962,35321
387.209631,14507352,5699176,144044,2751667,238711,71848,20887,21827166,50672,141883,838768,35378,408801,61589125,170114063,58221857,89246,11130
387.224408,13241977,4992337,345738,31185630,4990442,102361,108655,6889498,243071,11829131,2088293,5326942,3664276,8977789,6014376,9798369,1078516,2700334
387.233565,18613358,1865470,92746,343825,1296223,95762,75485,6799873,257957,201007,57196,40226,69647,7074307,80987771,5667564,443581,48244
387.238999,10789260,29662809,8412949,10780468,4371741,1103744,3932860,41087924,2648881,40262134,853833,3891502,5756585,161647338,1246678,2570321,8084365,1864253
387.543614,4549964,1521376,19241,896487,102668,0,2143,6233732,2024,57139,241537,0,45340,20873631,61314024,20505909,12766,0
387.725304,11154530,22526066,1694062,245853419,1684630,24295,287189,12993382,198297,522169,21804161,634330,0,51217189,6704698,10093985,0,207520806
387.877783,2251896,0,36172,3033220,0,6655,19483,1833684,0,20931,112440,0,17104,5165059,15336339,5351763,8585,0
388.21305,442048,1186598,2073975,132712,73843,27829,15736,9967738,402191,48456,58405,24341,43068,18212132,2980130,562832,38464,9742
388.221976,215147,2418911,21203266,492181,735325,10336058,47187,628490,143246,2736716,234360,12626454,7304971,866579,2402735,2741264,11283097,625799
388.263967,2898370,13149216,0,19337,326992,186225,97971,26639107,911189,177157,1097887,0,973912,32561476,275922,40434466,4910885,5524341
388.507595,222569,898277,0,204960,8290,0,2454,6758050,0,25166,11244,2759,0,29801225,73321463,922376,12514,6160
388.736688,752545,2976924,1876051,4331098,2331043,584025,109712,17372858,237200,38129900,15734961,41542,25923,29504920,2635014,73688848,47361050,900508
388.841954,129415,0,0,111188,0,7163,0,4069905,0,0,5204,0,0,15983049,45037105,422713,3610,0
388.883781,50921,2009625,138465,24249011,211288,13337,5640,561618943,0,7428,73857,3000,40709,173218375,2912429,33098363,0,56416
388.92935,208130,215672,0,46366,125524,4444,14845,238650,8970,363306,7687,6599,7812,31650184,3484226,5526632,4065,21662
389.180198,437485,1735719,440681,52508,191230,303526,4938,518305,328907,545705,189655,11372,17388,26205090,2647768,4326916,193474,6511
389.197997,29912514,14187269,458036,22560289,894024,128952,16234,116827664,139219,82452,353499,17989,289431,39521782,1911166,8934567,47711,85070
389.215475,4001060,1771038,595739,1222161,370825,372866,14438,25707407,308942,232128,304543,7977,21988,22440915,5589725,1440466,205089,45634
389.217747,1532359,5814035,474737,1884110,1540938,406580,432334,13934486,163606,229339,283530,10584,43066,40808673,259582,133268,202750,20480
389.218056,2681786,5227495,1266989,15005030,195147,233336,58264,356616793,199358,1746777,177752,15206,38107,105817554,1693745,20270474,312095,72778
389.239705,2025966,23211898,740401,15366587,4077043,337027,101724,20151748,94037,1083970,330225,10003,25252,8383798,2100830,1558403,192476,1189867
389.430279,70698,437833,31642,43954,129225,62447,11034,6620291,46956,110261,19897,32557,21790,11836586,1302965,1953802,43755,23647
390.544866,182300268,285496176,162677,0,308539,2982487,4899849,41227964,29842795,15666671,15236,10899,0,498813,127990,45641,77758410,115603
390.879181,120891999,121294665,2812404,65114,272238,1436666,3230441,25600895,14144574,8783258,14758,181051,50204,428275,37421,102155,38449549,56357
391.195134,42373075,17735780,12314,36729579,1530603,9994,0,282631523,303360,67645,1634352,0,222968,122223157,7333733,29412832,74847,1359571
391.21369,34289213,171684460,1803342,2001207,6388675,1172705,1334123,8720213,6407633,58899253,1610643,842068,3683367,2364141,2534208,9061136,34817771,2829384
391.227875,2623532365,588904700,10624,231628179,33633,12282,3844,1075387970,2995157,18321,121259298,17745,16803,204671569,113746307,59044766,158975,0
391.529224,24553029,10219092,99221,21980888,992008,39917,19193,175297033,51643,30763,1416159,98998,38587,73745073,4067201,18314100,49222,28304
391.561629,1607817033,356461298,0,148276057,85277,12840,42943,671235465,1867710,193101,76342528,0,0,128269095,71127119,36723603,35484,0
391.69766,4449441,9901434,193266,1420039,882120,0,7954,64598186,55293,58158,45523,0,2329,138146922,2517569,872205,13855,0
391.724485,14552584,1999228,0,1713272,79257,2064,0,175346980,123468,14916,280731,0,0,155066869,35800041,11397346,11908,194418
391.862754,9873561,4215420,103888,8594824,383526,3869,0,74128524,101032,12858,745416,3912,35050,32010494,1715059,7949243,20079,103434
391.895826,510013847,115491345,0,53349948,873357,3383,4545,246247837,554858,29597,26147984,4703,0,45429434,26178391,12762882,14454,26348
391.94834,114437306,69907715,0,25490185,694942,5117,6970,52167041,464355,19921,18744562,0,0,107699927,2411920,609872,6029,29103
392.17998,4833769,7605151,729262,6707578,816576,73820,974542,20432373,440323,1182783,497883,10736,52478,29456067,265714,199516,2120710,607868
