mzmed,T011B1,T013B1,T014B1,T032B1,T033B1,T047B1,T011BCG,T013BCG,T014BCG,T032BCG,T033BCG,T047BCG,T011PPD,T013PPD,T014PPD,T032PPD,T033PPD,T047PPD
300.197281,0,165713,373324,11516830,0,3957016,5817,30158646,178460,43123737,25522589,0,0,0,10859114,0,0,69388
300.198656,1289285,36080,299912,0,1267615,3078917,2068,4048565,1953868,7816030,6967132,2169161,211834,343091,194408,161268,131540,372786
302.430267,5874858,12869297,816571,8652582,2649308,11904999,13521,241875,1333836,4168257,2233403,0,1826491,3393064,1231782,5009961,2880021,2864525
302.681083,4294293,8841515,11734752,5990653,3391258,7742215,16205,239132,3379453,4744208,1334157,6614116,1291865,2200041,653459,13290461,2031402,1128583
302.931812,1174389,2565299,153186,2577883,1159805,2707302,5547,395675,11574,1637695,1050062,0,266639,903117,0,1534864,534066,0
303.844466,0,19672,0,0,54802,427545,0,7436655,0,4398911,6588134,176873,0,37247,43023,624216,0,0
306.369189,0,539526,7721456,3308044,2530110,2914640,87325,87271,0,1514060,314133,0,36790,87245,0,2163555,45864,0
307.22324,77403556,75105466,152769713,41936175,36531362,86294920,68196,41428101,125591,64991276,66012357,222330,1411583,15678821,21994697,39309286,1226296,55610
307.724931,25136696,24341446,40034536,11269025,12311928,23115254,0,8633916,104880,20169455,20846743,784363,364197,3859144,5181226,9521975,100678,13137
312.682978,3093842,2537908,4310305,1730731,311074,2953355,6160,0,1108189,1494918,147191,68943,16343,192758,267036,1816948,0,0
315.850395,58056686,90006967,100899332,171605958,37113841,148519418,37071,43003046,663438,90835371,61393445,1335921,241449,1377055,21832431,61570072,385986,6636
316.165357,0,101643,0,949520,214120,936376,32388,1467803,2444444,2375128,2811949,988174,211062,1670290,1358851,2303311,636403,166087
316.184671,28916164,23637268,63829965,81486844,18172670,77306491,40928,19853571,6924358,41753528,25734491,3588439,157334,928668,12324190,10523811,219098,0
316.518946,8356931,13723324,17194961,24411168,4977412,24366864,0,5501058,2162556,13051313,8061019,83555,6113,43235,3455757,7610362,6646,0
316.853042,1154510,1423227,3267864,1597521,810964,4384679,2650,938252,0,2234377,1416468,52396,0,11057,458191,559268,0,0
317.668829,50252876,55990579,104320944,1341057,30559181,14362143,7331,455296,469463,715546,3208468,35912566,206399,7235404,4674172,3846551,111054,0
320.428626,200362,1629280,112725,3154466,1524081,3036206,40269,45229,428316,343145,208357,69494,3398846,655724,1996547,2682269,1941270,6314803
321.17463,552735,633977,674545,805667,435632,304251,452474,1467206,1900070,1087605,1241603,715554,1143764,6655275,4030379,6495882,3439155,1624070
322.910641,15235,5240,11488,137779,5404,529635,366065,2621695,4561,3069219,3558881,581349,3633,52369,4418,8625,244832,0
323.161399,47440,23656,28157,78047,12388,66685,25557,2160313,41570,1918226,1955821,41100,12621,26135,20873,75053,26796,25538
324.451467,107831866,318682240,231379383,135787204,170220840,67778652,2858127,119069938,2001,75999241,117937564,8602329,4305317,9016598,80452903,94918539,2296163,783048
324.695097,1666876,4772034,2928061,28493044,37454827,46373362,3872,201176287,505316289,95722308,228480233,115473243,10396443,86263872,78283747,69506010,2532188,73417
324.695134,1304331,4044319,6320513,7346684,62495072,77158528,3486,422886384,583340788,105027133,387751466,47576006,382068,143513307,19178192,132445996,852445,582191
325.196857,982139,1239666,2424054,4018930,20700110,29064144,359847,145905086,69962326,36324433,139070211,22761273,914502,47964365,8811428,46395676,1852390,21264462
325.698285,29158,0,206826,0,3610534,5063872,0,28980109,1773004,6846717,25666937,24054116,0,8669064,1172703,7337679,4052,6114
326.1364,0,1349680,842157,1485927,1014479,2237379,0,0,19430,1248468,669088,0,0,0,72202,374500,0,421104
326.150352,565523,1027732,407493,3450663,5971416,10354270,37270,29213145,106332,35540350,20177539,46802475,458533,2760349,14598326,5705738,5017336,27461
326.176508,708258,242306,463650,9293541,7948663,4169779,3934801,23899444,1947035,8729711,12756757,25514068,2405132,4286210,4437752,3412133,8836497,97317
327.134321,1014237,0,451027,314697,1021317,431227,418196,2608062,315067,4627594,4541306,1111925,863510,855566,896217,171636,648025,505531
