id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,b1,bcg,ppd,T051B1,T107B1,T108B1,T166B1,T173B1,T176B1,T051BCG,T107BCG,T108BCG,T166BCG,T173BCG,T176BCG,T051PPD,T107PPD,T108PPD,T166PPD,T173PPD,T176PPD
1,M445T4090,7.256185277,6.124802132,7.72E-04,0.020623752,444.8873264,444.8870337,444.8874974,4090.41582,4087.47828,4093.95606,5,0,3,2,1152715.828,763340.2957,259396.8067,2519843.429,645337.4808,564229.7606,3694378.375,8937810.617,9234360.479,8860696.252,4992334.251,7127204.346,16586939.04,10549379.81,1735219.157,1690366.965,13224722.76,2511233.95
2,M491T4066,2.873548142,3.92626643,0.002837361,9.91E-04,491.3254776,491.3252923,491.3255621,4066.00425,4064.19672,4072.28502,4,0,3,1,1322754.111,4900275.064,257801.2437,735956.123,5796447.804,4611331.71,4854974.115,6902746.049,10754056.36,8243340.646,11418130.59,8471791.295,13799341.52,9343489.938,15706247.05,10932612.52,7648224.813,6293956.264
3,M805T6517,3.273460071,3.682389488,0.004984094,0.290099935,804.8672979,804.8654591,804.8682834,6517.3968,6517.2372,6524.8338,3,0,3,0,647484.9278,734998.5526,2866168.555,0,1500920.997,3411055.086,2623701.877,7157384.825,3379909.251,4236755.378,6894104.191,5695094.856,391060.8911,21579521.41,12317629.99,3372005.684,219753.2249,211135.974
4,M490T4062,3.39121234,3.61282797,0.00539042,0.009766876,490.3222459,490.3221292,490.3223914,4062.45126,4053.74292,4070.16594,6,1,3,2,5799993.342,8862180.923,3067744.102,2911731.838,9285881.263,27839250.22,22756691.96,38458466.1,21175975.62,35676742.28,24217253.93,53614293.01,30792433.58,68632562.94,13675914.29,23043327.67,52353822.36,41191918.58
5,M465T1874,14.00175871,-4.496238746,0.00554239,1.33E-04,465.1783223,465.1783111,465.1784098,1873.82628,1868.7351,1876.60302,3,3,0,0,20177522.39,44873446.05,46905728.59,51112562.91,7811980.819,51472513.41,226072.8534,2318148.59,142789.5605,4662579.791,8272853.804,257971.4841,78295.5827,8467980.704,328692.1707,15686844.34,2596608.035,2604597.427
6,M363T5973,13.27280367,-3.769405874,0.011051504,2.37E-04,363.2373356,363.2372268,363.2375457,5973.32916,5968.35348,5979.15252,3,3,0,0,18942429.88,29966864.42,34433770.28,14869007.38,587916.4325,25075659.74,2552014.595,0,274695.6936,8562.739922,6497770.027,0,0,0,36507.31771,763236.6411,24575.12384,39395.88958
7,M433T2054,5.053331578,-3.21064911,0.012987384,0.469135509,432.5641322,432.563332,432.5656954,2053.82862,2047.53318,2054.01744,3,0,3,0,97353341.85,61770018.58,97139028.11,62515722.26,36752434.46,13604405.09,48399812.45,6951733.194,764365.0765,3093539.909,4039852.212,9798535.93,717994.1142,392351024.2,5492.112073,13100116.09,28348648.19,23575880.77
9,M428T3129,4.092429068,-3.123020118,0.01611589,0.421662358,427.7239855,427.7238999,427.7258159,3128.83368,3122.17638,3129.144,3,3,0,0,2716982.456,6555626.014,13321408.35,8540325.419,3678045.256,9840531.083,141651.9642,4984728.708,264125.3641,2823039.725,2288801.189,408756.9037,260793.7831,161120.3508,100229.5681,193453.7902,30377381.67,4282189.071
10,M487T1815,24.87010803,-3.517158158,0.016726949,8.51E-04,486.74817,486.7464539,486.7487766,1814.89074,1811.98224,1820.12064,4,3,0,1,16735211.61,22625507.29,28905718.83,50663013.34,1130476.299,25855852.16,6032.90966,867860.2541,360157.7207,3020865.774,1127598.976,484599.1892,1716715.651,310950.2466,25636.5428,1072045.779,2974404.195,5145518.386
11,M652T6517_2,27.17945757,3.484937163,0.017438664,0.146951149,652.4895097,652.4883782,652.4909107,6517.0524,6508.9164,6524.8338,5,0,4,1,257082.7598,1323592.796,553355.3376,223951.5091,60961.5862,935307.7371,17482713.5,25895843.24,5719872.538,16618429.42,392493.9162,25057389.82,852790.2854,29137209.54,5852504.39,53101648.72,591286.2468,160784.4176
12,M451T1920,7.963115074,-3.25485383,0.018897022,0.001281995,451.2659438,451.2658959,451.2664705,1920.22143,1912.99278,1923.2058,4,4,0,0,11679360.22,29643604.86,12516746.7,2688575.069,13735889.01,12152969,505489.3361,5799337.488,335085.9959,70520.91712,714437.7189,2924990.889,302202.9162,0,239259.9817,876305.8374,1686076.704,4222168.599
13,M451T5417,7.55450272,3.251126558,0.01937017,0.077136619,450.9506183,450.9504726,450.95062,5416.56564,5410.1994,5419.63722,3,0,3,0,626161.8172,2509092.369,175962.2685,437236.8433,1118664.637,5329292.403,82743.26761,20706386.83,5445182.09,16852919.11,18269223.05,15672355.3,33564413.75,16921692.37,1815950.771,4962395.923,10516761.12,1856049.162
14,M466T1874,14.31507111,-3.228879515,0.02169808,0.001501958,465.511717,465.5115075,465.511903,1873.9305,1869.5841,1876.9689,3,3,0,0,8490633.386,19728122.21,21778570.57,20633827.51,41105574.14,2529617.345,8767.650339,422761.489,29371.21349,1900730.282,5327393.522,293216.6794,276772.7932,2265957.541,59107.17244,3755234.952,866246.4625,344093.9102
15,M435T1381,4.757023642,-2.979413282,0.024385759,0.191877259,435.2298012,435.2268906,435.2302829,1381.17864,1378.09002,1386.36372,3,3,0,0,3936408.034,9328695.142,6149683.692,7853667.516,459508.471,12050336.76,155868.0102,722547.5905,390555.96,1152737,3646787.653,2293518.063,323419.1999,715451.4505,507914.8415,19643316.75,13476183.31,3869734.031
16,M367T2613,5.764362617,-2.935294933,0.02604407,0.395670179,367.228436,367.2251847,367.2287069,2613.01239,2610.7401,2613.99936,4,3,0,1,2489855.222,1477609.424,6702927.136,1871746.66,1858356.267,5017710.593,35643.69888,849335.7279,36506.69033,390989.4617,1806717.418,249471.7785,17654.23812,2279319.093,55862.45011,37986171.16,1135443.758,4028026.976
17,M524T3462,2.58833752,-2.586759104,0.027287633,0.354458701,524.2493114,524.2489439,524.2499012,3461.50104,3457.93302,3466.36062,3,3,0,0,6603250.991,15760216.87,11272145.1,22229414.48,25853969.64,22813169.93,858062.8105,6272074.104,3841719.648,6028437.032,20022394.39,3363145.082,3316775.627,15458708.85,8264031.478,75124787.54,10705932.56,9553295.93
18,M528T3180,3.134833597,2.575904584,0.027616475,0.306367111,527.6095748,527.6085452,527.6106319,3179.93706,3173.01294,3185.7294,4,1,3,0,47787.13125,35263104.77,304636.4382,17503602.28,161939.5414,6318225.243,25181579.83,57904277.74,35051964.01,27859465.13,24123324.67,16713262.21,115186433.7,14412771.79,23920964.19,38402964.86,1161095.871,1760635.572
19,M748T6887,13.1368719,3.043015197,0.028323067,0.081685457,748.4868271,748.4867993,748.4868472,6886.6728,6885.7086,6892.7838,3,0,3,0,464883.536,413301.049,1694292.816,411017.359,1555044.68,853324.5666,672414.0549,15441288.88,15635307.1,24617127.02,3635866.912,10830222.83,15079074.59,13114747.65,25029842.03,73486032.51,6997542.523,4388859.644
20,M934T6437_2,4.78219263,2.648417123,0.028662169,0.049132905,934.4563799,934.455456,934.4587273,6436.5867,6434.0556,6439.6158,4,0,3,1,1396508.948,0,16433341.13,0,0,3601345.226,5440851.797,11694522.85,24401147.16,31022689.71,23646272.28,6282620.451,427890.7965,24182146.47,1834817.211,10412841.72,2307003.631,1615316.39
21,M729T4866,78.86638591,3.035059086,0.028857874,0.077453194,729.3511396,729.3510402,729.3511938,4866.39747,4863.93804,4870.61046,4,0,3,1,1378771.455,0,1484752.733,0,10610508.83,750800.4466,605183.7989,214691094.9,303521736.1,333169223,2589890.575,267284076.8,194823507.4,610800476,330510858.5,235118.8425,85770406.09,28286254.73
22,M550T1922,27.52115056,-3.016748671,0.029143728,0.007312591,550.3011165,550.3001413,550.30212,1921.9404,1918.75914,1926.37182,3,3,0,0,3012499.456,3791086.308,173645.6608,9945203.316,12997070.9,6554731.803,10668.94937,0,68222.80269,838833.7592,407591.0797,0,103186.116,171133.0721,29271.46711,1672147.696,2998284.023,3333625.124
23,M1129T6886,101.2400982,3.012196996,0.029620381,0.260899138,1129.285946,1129.28536,1129.287188,6886.3476,6884.277,6888.1056,3,0,3,0,3353666.786,0,0,168476.2507,0,0,934626.0205,92693678.79,64537039.7,89500787.55,0,108915974.8,1429469.404,280615506.7,13372272.74,5047440.36,5026084.576,56910682.41
