mzmed,T051B1,T107B1,T108B1,T166B1,T173B1,T176B1,T051BCG,T107BCG,T108BCG,T166BCG,T173BCG,T176BCG,T051PPD,T107PPD,T108PPD,T166PPD,T173PPD,T176PPD
301.204962,23753,68346021,165586,587421717,1593430,3776105,68933,7837971,2849615,257367,0,65579858,631995,323545,280212,413827085,32274923,89280457
304.194928,2537808,68952143,21989375,82172411,8178648,82466510,11761043,51599391,17597390,7766330,41064107,39310161,17609858,52514558,25292496,56987284,41499094,64341911
305.156818,0,115908835,113054,1151629412,8677423,7862434,835157,22501273,195115,965365,0,149799213,0,519182,208790,0,60638127,269677130
306.160177,2109792,0,118599,0,255213,671380,19941,9075013,60351,0,66547,0,60516,111827,40665,142957709,0,0
306.369366,4423428,1012997,15584,1136415,65691,0,0,0,5621,113706,0,0,2426,0,0,0,177829,0
308.515268,1879026,1920452793,0,570141510,3241539,233436,2225,412176408,70343,0,74975,727264377,0,0,71770,2795942553,76075,483957
308.849395,6971979,985645866,124430,303339630,1481889,151412,129274,808331369,137831,703348,110761,597629388,90014,861731,114039,1522492885,391806,871494
313.19266,165427230,2121483738,518243299,1859542708,27142274,2451367,809867,709147094,306153,846999167,2373550,59697858,360421,115420657,374287,141249723,252815240,616343574
314.217137,22081461,20512773,16365177,98977664,16460481,1646950,137136,89680734,1615002,2027467,953225,87529031,25500,4123976,1398511,19807927,56891682,33293916
317.69971,5143044,201417648,691820,33294105,1798542,918172,2935,112502166,7959,68285,30860,19430278,2256,54141,3280,1795844490,24890219,16382775
319.528541,1009082,1510480,1625513,7324680,0,0,0,51976,4829,90405,0,0,0,25352,83885,153891,410812,78771
319.537117,8612520,4446498,0,10721426,71198,391302,3619,2629922,0,0,159066,1379953,0,0,0,1130394,702372,9622322
320.85324,50961187,35387583,10398513,646422,0,188035,24846,49980,8758,0,40346,303374,0,210721,8916,3695023,63165,144798
321.121561,0,396516,55567,37304455,25071733,526094,10504,3920032,13737,14166134,2280453,42848023,75894,2664283,0,29839609,41949464,41877918
321.130793,1870623,0,0,0,0,0,0,0,0,0,1063176,0,260020,0,0,686270047,0,0
321.4935,4936930,4518324,2839453,51582,1138775,41501,34430,1769502,85902,4832223,147966,3883120,21085,350969,84134,1353221,119920,1277389
321.952499,7263903,15598426,204884,2489924,0,209212,29420,33040710,132847,15037,928692,84389915,121150,6788,98205,25555179,63111212,1567231
322.193729,2265232,8219402,793154,47727570,1109315,3510914,133756,1608352,594073,186041,1151525,2159410,502516,264729,527379,43517751,7838516,41755769
322.203177,4776668,12747013,10400,1761017,429716,8741340,145790,24298087,457466,21725,497156,58478683,299911,26606,450020,27702779,49912539,1456600
324.451345,72338161,2648885250,877477769,2094746254,10702656,18799837,11221,902456078,126326,953671660,25939354,65739968,0,64262802,3076,115283935,190434081,631889771
327.200234,9838116,2703035,680549,292075895,91653944,10086320,1123077,7951467,222968,206381867,7967635,245023897,415411,8030335,74108,228084422,228591149,129939709
328.499554,102047,405642,0,221978,384977,166156,3869,5901597,14704,3254944,252698,5062032,0,1490603,0,1180739,586288,3229748
329.183841,62843184,452091040,89342,37412781,2540529,79934809,125349,23864772,120581,2678765,6558355,17862830,246396,2195169,166118,389789056,9113685,81109672
329.240294,1377971,2752347,2413434,846392,6774072,1108179,137397,3517924,3281900,1871645,676316,2224552,3412853,4840487,4929269,24132510,12680782,6882152
329.685664,21146013,203886588,28095,12431460,1763702,5562112,10020,9353745,51705,518418,93098,4932454,4736,5737735,0,178645405,2580977,26615446
330.18694,5193047,43299712,82834,2000808,2631229,4559757,0,6052429,296920,241385,0,0,950418,1518096,260533,32141216,4002479,5312807
330.467751,530822,24967497,1155001,13132685,62809,125611,0,104345,0,43967,71233,0,0,85175,0,5429199,327288,483797
331.234219,3471730,16737430,28763145,1712035,6597158,1017824,204961,9969472,91823,542940,316023,75790932,151553,514908,66067,1492263,60122772,1501129
332.193962,6192097,4766702,7821058,1528124,8393032,379498656,5410230,998063130,8606753,305104354,1869784539,613496744,1044390,801683560,3891694,36620413,65867115,0
334.188833,1137423,11482528,81432,1753257,4720395,3415863,9009,176442047,41645,27021285,6587501,5367715,21347,51622,33215,34078821,103361097,643331
335.183621,3955118,3571106,186334,510128,1250544,181350,600798,137090,49977,0,238703,89493,117219,172659,450383,4554662,186446,90158
336.086368,6562038,4334060,71889,47150349,0,276389,43769,363023,96039,76179,213847,2856450,30957,124485,105637,27014201,2544476,15857446
336.197124,525149,10164436,675518,50319395,5800466,9586872,2415019,4606220,268973,1794567,5835202,461304,0,2663935,1224068,7301438,7573856,367966
336.213605,6337869,21571716,72879,11591497,0,1968467,4325,413094,62978,479236,1712094,1576738,81520,78854,145724,35494013,300988,1053938
336.715179,1698605,6585660,7951,4931149,0,5498728,87102,47799,0,0,174185,117763,0,0,0,56460747,220955,0
337.192717,1864918,2236042616,276066,7160162961,4183845,9545887,48762,14615784,572253,708827,2825146,104170965,1905055,348089,468705,5377031242,5951696,2257256
338.165236,177668,15899382,7874119,851011,51553,1880698,350633,1050452,314565,74931,2842928,1243956,196580,517275,308729,251362,583772,2097278
340.191625,950955,11109725,70660,2713409,79611,7327691,34639,834187,28561,109305,3766649,4410513,36556,206748,32777,12623492,210375,102676
341.254911,101529932,43132901,526395,34089714,1809258,0,333053,119687985,377006,100881528,0,28570514,829635,73354,419344,29656356,60173506,7006929
341.849397,23547411,49957763,18434744,1177873,0,361331,3288,0,0,81385,1199566,0,0,94566,8419,215768,182157,36059
342.683815,922334,61779403,26315,8591817,0,2192857,0,522057,0,6285,2162935,1193190,0,0,0,38044655,101580,1169859
