id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,b1,bcg,ppd,T035B1_not_identified,T090B1_not_identified,T142B1_not_identified,T163B1_not_identified,T164B1_not_identified,T165B1_not_identified,T035BCG_not_identified,T090BCG_not_identified,T142BCG_not_identified,T163BCG_not_identified,T164BCG_not_identified,T165BCG_not_identified,T090PPD_not_identified,T142PPD_not_identified,T163PPD_not_identified,T164PPD_not_identified,T165PPD_not_identified,isotopes
1,M641T6567,4.18318751186098,3.33869150484314,0.0160061146546147,0.00533940103820109,641.262460573212,641.261931822149,641.263387532415,6567.4767,6563.8488,6572.3772,4,0,3,1,15316984.8575319,897522.430933276,1790814.36507614,11848146.5696101,13668620.0148847,12230845.378904,4473240.89323015,49051067.3032861,24906025.9627828,45706952.5986928,46254666.566984,62833022.3310216,6628235.9124916,13851763.4212658,7205102.94259995,18653912.6081494,26960833.3810927,
2,M866T7059_1,7.39538182170293,3.22691875491822,0.0173344902704433,0.099482292919745,865.75474782193,865.753583499552,865.756702341783,7059.4812,7049.1834,7065.978,7,2,3,2,9168700.4001894,2348923.58933979,873722.492118225,5198433.02381078,1877637.31950645,44009040.6175242,27550892.8267269,97730305.162393,5999339.67126574,118128479.592077,113516491.962123,106507130.261696,10627285.0832582,378090.331428309,3904602.34850007,107086399.392553,171747953.85952,
3,M587T5373,3.35240876415442,2.94130375638081,0.0180440052969111,0.036543676309797,586.541736391509,586.541127379307,586.542252354051,5373.15276,5372.75748,5379.79656,3,0,0,3,307876.45638669,1910438.98625278,216174.758573738,313586.234174423,309677.779733643,802725.0937883,3424306.36112475,351134.583629932,1929001.94673734,2933481.02542507,1780537.89991116,2523442.852197,282967.773822009,2444652.35924523,7311735.90668494,2376998.51963252,5470225.71337186,
4,M547T3257,3.28699458456764,-3.07865502330815,0.0188379613996572,0.0788604121835978,546.797749968202,546.797338342338,546.801171306234,3257.30772,3247.18488,3263.59728,5,3,0,1,7712730.97350217,3389605.39278047,8384537.75758162,6154156.96192601,13406508.6664032,3890736.75453553,2666142.31911215,800499.439719111,785532.865261956,4878081.71322715,1593300.19383977,2339524.46943634,8243913.27478882,10681844.4114588,807226.744918552,822036.512804944,801159.252222447,
5,M588T6015,3.32177800791446,-3.01866769075885,0.0263705958948415,0.327658614865872,588.261453476717,588.261341787517,588.26267330592,6015.0198,6012.3624,6016.9782,3,0,0,3,27516707.4274389,9673617.71596596,22003401.9318782,6579298.69134917,37302188.8517438,19831479.7820332,3846235.42878397,5315445.00039924,5647025.24096271,10555202.5134214,7190937.61478517,4445427.58161814,3534162.56154655,2653109.64002411,646671259.078203,18395092.3937795,21386470.0422999,
6,M633T6246_1,10.4752398591693,2.90958951009816,0.0324802165831093,0.146236752113943,632.577974138538,632.577771394877,632.578244003039,6245.9568,6243.744,6248.8134,5,0,3,2,6025314.52553332,16348973.9589931,6028811.13702419,1391888.76910586,4906290.05899474,23817641.6419892,18742726.2463101,143216926.960634,5713224.19354244,154505080.205094,197728551.819092,93093214.8348211,12138979.0168496,3051172.64548785,6369038.05244827,307237067.272528,290594034.848196,
8,M632T6246,6.82312132625187,2.75191849035742,0.0391580459203142,0.139439353919192,632.327398519277,632.32724371678,632.327660708739,6245.94,6245.1756,6248.8134,5,0,3,2,7775707.91842208,17575281.798873,5385433.93548207,3422727.4862037,13315625.2433859,18396505.1808355,15306128.7741369,101858175.141367,5343522.78388646,109727894.008107,149752636.210463,67459389.1034671,12305139.279523,3152160.90716956,23034536.8650045,226270940.947484,207182188.853711,
9,M422T1632,6.17139926867987,2.61478667036167,0.040481083692391,0.0497021532542829,421.710197921029,421.710192956032,421.710391557126,1631.52774,1626.79128,1637.1462,3,0,0,3,181331.476398383,71006.7895145507,1396739.78919751,474822.297053521,3181511.19854507,0,7571948.30746251,1036272.82807949,8417310.37076087,655829.644264818,4393607.93796739,10666843.8755564,881591.1625228,2097294.32501236,22778364.4227549,20717635.8679225,56575392.0921071,
10,M479T2763,2.40583371356903,2.6570287580989,0.0415076294414018,0.0415349934045594,479.221691509225,479.220426898631,479.224027534874,2762.63448,2760.69708,2764.8192,4,0,3,1,8929750.17046197,19920343.8357059,19108381.3626708,18615763.1750617,14132621.7875321,14547216.0809662,72422935.556091,22417730.2681984,39081812.6222253,40712604.6431814,40734100.9187343,13796284.3793986,25260484.3054334,18942473.7653168,17703984.796962,38885931.959604,41406480.1854958,
11,M661T2667,4.72419298703922,2.65162121644656,0.0415892690039599,0.0884736737506675,661.30554907185,661.305411268384,661.307188019414,2666.5023,2661.73218,2667.26214,3,0,3,0,16087606.6902386,14400768.6875964,388005.332661202,6170121.09597954,6825733.59675338,5468386.20380779,18816190.0469248,33730365.1867072,31809796.758483,90400724.3556034,45054490.2186493,13283052.0057523,40596528.0506172,4514715.94253022,1915786.85037379,72936581.4205839,47479131.7003768,
