mzmed,T035B1,T090B1,T142B1,T163B1,T164B1,T165B1,T035BCG,T090BCG,T142BCG,T163BCG,T164BCG,T165BCG,T090PPD,T142PPD,T163PPD,T164PPD
300.201509,1050776,335328,175029554,7907424,2031981764,45249669,3226481,535647,17135594,982597,590178298,1097260468,479053,6544850,3411547987,143817535
301.204911,249784,69182,0,2341106,400130325,1945083,0,104997,0,250349,106328345,206642793,83657,558047,659976690,27267342
302.206416,52335,111637,2809338,101607,48995076,748196,477858,194255,583898,142416,12327313,29804637,1264865,256375,96779572,3328164
305.156842,709602,185109,88401105,8772027,1134297048,14367120,900569,781182,0,1351912,250624310,296074945,76363,396341,1945635676,69570471
306.160177,34981,38317,0,483872,0,942412,65586,66303,166598,0,0,0,171651,0,0,0
307.133043,24969,502172,3045672,165240,34341019,0,40750,494281,352884,51868,1251845,5313820,49030,190258,73078191,1794360
313.192816,66493646,33674932,11733038,2490539,5332354,71009704,162419091,453195158,358139,14010095,1593188,39418946,173641571,284767,45004318,557723
314.217036,547643,9513000,89175863,1336936,21903027,40322614,569337,1398317,763080,1542864,163739770,53935935,874677,3258347,6755893,63491998
314.230368,75125,1216429,3654776,19633,83063,8910069,161468,217128,296672,35576898,50137239,64792009,43248,604298,69793,9532450
314.7321,0,33694,141243,34648,0,1148344,0,16982,49506,10360587,20079911,13376707,0,44353,0,1730138
317.186895,160170,28926319,8665939,716506,10042602,7214127,1161907,25263735,3358449,610942,3100172,1396209,1557284,1346732,3757164,3447145
318.483532,2339,8480,272609,0,133536,659791,1427174,31577,47453,0,107127,5295293,1196979,0,110196,1343584
321.122153,512557,52101,3028215,971992,36128844,565701,200062,57568,146204,101334,14750911,7140649,69278,147451,66749669,2747517
321.13075,0,0,0,0,0,0,0,0,235422,0,0,0,0,0,0,0
322.18615,685873,6270550,11498104,22019377,2529313,1404525,6530028,2703532,6170184,875666,558447,1668987,2561949,116354,1399645,792640
322.438262,667004,97413,207648,108509,527987,1673792,13263868,7085,0,0,74140,4392490,7142551,23518,0,858891
325.203613,1440036,1405375,14598910,2890735,8849945,30281697,1117602,1180964,16033037,40196429,19884695,186909631,903599,4935501,309042550,2732639
326.217107,338608,27068818,59409757,2487498,1491535,18377934,1294807,23474375,10443925,27251652,123514899,7306976,919335,17779634,2832666,29047238
328.204847,2314146,74518788,1827061499,29173248,80660893,5740692621,227006018,99726244,8429771,6557913,6060332368,7180098114,190477840,5252873,52501398,7771291274
328.232832,19372,1201284,3528509,1929627643,21268605,774266,597874,666924,118981029,283331,2704230,5258708,401720,1994889,55144606,1536358
329.65113,46251,28474,1393225,672391,24975,2173824,40407,14432,6490394,22132185,20494344,154786,52872,120037,56666,388534
329.87464,85741,1911787,178445,100542,945961,16767547,128174,1528344,84640,1699912,442437,6563293,53916,64025,1547778,1265771
329.884618,13531,19765,3067498,134758,7067124,725293,19793,10670,20492,629499,1895087,2893905,89005,34617,7872870,4681410
331.187112,419299,575846,511196,1033952,7618011,863694,5708868,1388427,656813,444074,343514,1659985,3007898,375220,7514846,1044757
332.209093,5461,27400,84940,1343283,279059,158516,59087,1596107,7111004,23299,1040373,639170,290938,123341,181592,276473
332.21294,88629,3986934,14764701,959471,3036652,1182708,3478477,4392988,4214876,2212145,13016247,1808049,304439,4699756,2143225,1311622
333.177872,1811731,39290,262422,139711,539130,3684277,3014950,0,315650,1243813,811484,1036347,1670307,379314,377915,1338091
334.188591,19484,647126,2062759,1429555,36486556,27842208,64679,509513,735988,23553285,4441479,36212731,156880,415854,135256527,7610612
335.189458,321313,298928,462783,2174938,2956611,119598,49110,202169,6617420,6109768,1800663,120624,404738,241756,252561,483321
336.086373,83514,0,2189094,140984,85466285,0,30152,126420,131315,63341,8189070,10691002,18341,84096,105432324,4510530
338.182151,185946,601376,10160160,314997,10111532,2292780,4294440,13726522,381070,267066,17746669,17779769,7043093,152511,9959761,680698781
340.191583,103620,166391,959231,678791,632287,1547672,3405461,217782,1698347,155045,1184186,466651,5888602,846252,1897596,367908
340.684906,24544,27341,0,1365739,74073,0,33655457,109129,2059426,41884,235286,9084256,9770878,51631,961516,5229392
340.686944,0,18615523,670355566,130017,93081563,93763371,820300,5723473,568962,0,41088695,30801,310602,0,10209564,34947
341.188349,51086,7798818,202152318,13907656,30532117,28470778,3577580,2273142,3118696,845493,42399571,34889234,1272809,1374403,84568481,499101
342.183204,50962,1397544,7714025,911262,960517,4941790,304347,748711,13390542,962526,3428804,3560696,259602,6754575,1048067,7956795
342.197323,200055,4666000,1856789,7688453,28719024,10005166,611143,4379058,3949832,806282,3586693,19288401,698059,2113697,28211511,11119832
342.534648,664909,86979,435260,500672,246199,2668620,3046836,0,3745300,4024272,6058506,1250612,691438,83463,541443,6120280
343.171677,887137,5772799,1574331,1153520,20568143,8292697,2432382,4891968,2746474,6305308,6792448,16741913,1775825,3764623,27570890,21383107
343.866044,6982792,61601,402875,3059135,336789,5360229,65675925,0,3816531,43668,9978829,142527355,108547783,745382,353836,5840319
344.869801,9429,130179,64867830,846518,57063801,31612488,221433,406290,2099118,142749,26439826,27790625,87603,769157,14907388,19931177
345.704761,0,908638,463882,2135411,275721634,226241,839689,769477,3752423,30913,12640802,85142668,3200121,346831,186250505,34215490
346.193193,203712,251515,883321,8614015,361976,7722010,5875140,98578,1063242,191060,1254649,2843307,2662699,582191,170848,2618832
348.09819,30567,499606,281697,23202166,26435347,0,261056,44295,2301388,60170,2984866,4238255,0,379038,46053960,2022218
349.21993,1281736,629003,1527902,1602071336,4414213,223237,7005387,579230,23801214,0,3518019,1589288,1246093,6278399,3801650,1434475
350.733718,67051,8228150,62064632,1085277,20380255,75667688,1200130,12605146,903556,90024752,162906806,10460139,8117076,125470,3326668,157017910
350.733762,1358130,18826049,8720063,2686929,14463357,13364081,19975060,17833635,22917738,869419,6413763,3502412,11867254,77797964,11873500,4699243
350.803151,157041,16497,0,0,482185,9413397,7165926,218026,198763,24191,1872558,6486790,21291229,0,2027225,1243656
351.18062,155866,46402,340231,2140081,2099389,79634,4659123,654436,10479334,69067,2198996,122714,7227777,390192,1814832,135662
351.208035,3715745,11004264,9078267,8438758,81825344,38413701,17044470,6711098,21770282,2355177,2664430,5088280,47889410,1769734,33836158,1951971
351.23494,175792,1160119,8714590,3384811,1838677,19626461,885813,520064,744938,23044440,45481895,10986272,3346710,191345,806904,14600163
352.190542,2776580,17473920,3615514,3968084,1613112,14602900,2302068,9525798,2504583,392459,25859455,5872154,1016012,2045763,4674264,13020751
352.203817,27572,280221,951157,9004428,3417228,588098,3354495,617090,20058562,19101,1545429,756247,1104906,920736,2270991,308464
353.216891,454812,9340083,12780083,815642,22369849,10334914,949718,690729,229556,18317752,21283165,8302513,318156,177832,114658004,15004933
353.728396,785063,28680,1325086297,57865918,4602643,145917142,1637361,334404,10094811,19315270,7057087,3872265,2544333,135706,201715,57637
353.824992,0,15712,8751122,8699167,200875,3832845,78850,0,2492714,12736234,14827118,461938,0,3377696,300657,833232
354.51167,74621,20764,748593,43114498,184665,0,11361345,125972,3940453,279787,319677,1663090,23316850,617152,237729,2596958
355.195898,425992,1989121,86116541,2720755,1309535,15225827,577218,553690,2989997,50647699,30689416,51683084,1194524,15899899,4963155,35149487
356.202054,81415,306928,3292365,4441121,3451858,1191354,5029554,637780,12123948,160433,1487214,7763074,1454952,8591601,1283979,9449504
356.432518,39847,0,74664323,378237,46205,11064027,21285,48387,92810869,16987606,7151313,162230,0,12508854,0,116219
357.192089,1648278,3740492,19241955,2968737,5155295,18647654,2901544,853526,5243708,1621627,2695809,14373825,4237173,5957342,2112432,20427258
357.863697,856109,7789611,286934522,304687,58579805,44135644,32368376,4435471,1665174,563346,316976342,66860778,12894489,1216765,54906058,28103354
357.958758,0,74174,852969,0,0,600400,0,0,335993,6889326,19412862,11991342,0,57973,48306,22882346
358.243368,1852685,13197622,83043641,1431879,4165122,57854390,5184185,17611809,6913671,47743235,157837978,102802659,9677306,7331598,11430552,89746535
358.243425,8814150,96413579,142649880,55226903,17555076,34215012,11025368,117477343,48740158,35776223,28343571,78286448,16339273,71504134,60322816,50789417
359.520772,27492,709149,3224392,133043979,105624,1977458,428702,14355,21913635,452215,2625212,8346622,1420335,48498911,311730,8080653
359.855001,4248,433846,445971,16465727,2157420,766418,63906,1502398,4262478,40377,878034,1773313,279251,15783546,4544617,1343734
360.222847,306334,709748,117616583,10979564,21924440,102444715,32971562,1258677,10613523,208575,161467801,551797615,9450374,14597482,17215828,62991307
360.268678,175797,0,286893,0,0,1818541,0,47722,0,37142628,63447305,7202462,0,0,40207,29573258
360.532925,347143,156561,5848788,113201,722685,3024939,137380814,220277,193546,28932,13123703,35379630,46600424,32220,3216462,17646838
360.557276,0,0,0,0,0,10305809,0,0,0,14412462,5609131,13753777,0,0,0,5296510
360.707352,465866,132822,14706092,0,16638837,107865,11072894,865685,100968,1349688,442715,0,8065520,64130,1290990,1512832
360.867093,173798,34645,5680464,3952547,117756,1933305,77589816,67394,28735950,8690,8381363,22575041,26514389,30986047,1781176,9362841
360.891643,406536,727133,16534262,143108,2163848,5226011,2565542,698243,59275,8216475,2446347,7897862,674043,471822,1926195,2915314
361.950468,1257805,9175287,102802293,0,0,0,3906752,6562716,39324,63340,44390,0,154239,21925,0,30582
362.199939,31005724,12310043,10763920,554148,1151451812,7777815,111791507,6405986,1853073,6577526,5989367,7770442,39682601,597395,179505787,13316535
362.20002,230805954,48845871,12197303,852792,350875623,31998914,853170411,10854471,2464722,6453777,5496997,66653817,88176355,1512974,146480891,132039049
362.721202,2250314,59873,21353218,6273709,4724857,281906,485500379,0,95179883,528374,51298609,92580300,77653007,63658033,6938050,59719609
363.198819,708354,272630,47498306,447729,2782715,1948217,281065,1664527,16692820,268896,2995395,574335,559046,2439763,3445112,2131302
364.104888,7008,0,2151084,0,77002920,10893759,0,15499,291854,2455903,636091,24173214,0,467111,18715155,17253606
365.157232,10229083,3212597,931356166,3076570,11006937,2054010675,27908000,4163001,16077774,3320298,2701931874,2695469196,7448364,12453269,8679173,3059703038
365.182355,564543,8431526,9562725,12606897,6839463,1903401,8114312,7704843,77561167,1873441,10496150,2888889,4168080,873064,62015047,1657921
365.212428,2107886,2485270,4598601,784460,6515909,7533204,10923845,483887,842763,25573614,24053225,6106198,7355276,4284264,5359116,3276205
365.713773,171280,0,1715106,33211,1065631,2942685,2113571,68068,219774,9986072,9893546,2983109,398166,74404,434872,405469
366.197631,4106897,12083436,145081110,9483988,10434873,231833653,6540374,15451913,1001744,62345580,45935755,355573302,6116964,677241,6558699,383270470
366.218513,151883,4759305,3398775,12344543,37258490,2255786,2155093,5500181,49017201,138324,2141260,8086065,1628297,26159253,30149275,4449477
