"",f.value,p.value,-log10(p),FDR,Fisher's LSD
957.910526729277,9.2455,5.0237e-10,9.299,5.3131e-05,ltb_ppd - ltb_bcg; ptb_bl - ltb_bcg; rtb_bl - ltb_bcg; sim_bcg - ltb_bcg; ltb_ppd - ltb_bl; ptb_bl - ltb_bl; rtb_bl - ltb_bl; ltb_ppd - ptb_bcg; ltb_ppd - ptb_bl; ltb_ppd - ptb_ppd; ltb_ppd - rtb_bcg; ltb_ppd - rtb_ppd; ltb_ppd - sim_bcg; ltb_ppd - sim_bl; ltb_ppd - sim_ppd; ptb_bl - ptb_bcg; rtb_bl - ptb_bcg; ptb_bl - rtb_bcg; rtb_bl - ptb_bl; ptb_bl - rtb_ppd; ptb_bl - sim_ppd; rtb_bl - ptb_ppd; rtb_bl - rtb_bcg; rtb_bl - rtb_ppd; rtb_bl - sim_bcg; rtb_bl - sim_bl; rtb_bl - sim_ppd
1094.76454304648,8.6868,1.626e-09,8.7889,8.5983e-05,ptb_bcg - ltb_bcg; ptb_ppd - ltb_bcg; ptb_bcg - ltb_bl; ptb_ppd - ltb_bl; ptb_bcg - ltb_ppd; ptb_ppd - ltb_ppd; ptb_bcg - ptb_bl; ptb_bcg - ptb_ppd; ptb_bcg - rtb_bcg; ptb_bcg - rtb_bl; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd; ptb_ppd - rtb_bcg; ptb_ppd - rtb_bl; ptb_ppd - rtb_ppd; ptb_ppd - sim_bcg; ptb_ppd - sim_bl; ptb_ppd - sim_ppd
572.037159196746,7.4679,2.4015e-08,7.6195,0.00084661,ltb_ppd - ltb_bcg; ptb_bcg - ltb_bcg; sim_ppd - ltb_bcg; ltb_ppd - ltb_bl; ptb_bcg - ltb_bl; sim_ppd - ltb_bl; ltb_ppd - ptb_bcg; ltb_ppd - ptb_bl; ltb_ppd - ptb_ppd; ltb_ppd - rtb_bcg; ltb_ppd - rtb_bl; ltb_ppd - rtb_ppd; ltb_ppd - sim_bcg; ltb_ppd - sim_bl; ltb_ppd - sim_ppd; ptb_bcg - ptb_bl; ptb_bcg - rtb_bcg; ptb_bcg - rtb_bl; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; sim_ppd - ptb_bl; sim_ppd - rtb_bcg; sim_ppd - rtb_bl; sim_ppd - rtb_ppd; sim_ppd - sim_bcg; sim_ppd - sim_bl
358.190444374924,6.7327,1.3357e-07,6.8743,0.0035316,ptb_bcg - ltb_bcg; ptb_bcg - ltb_bl; ptb_bcg - ltb_ppd; ptb_bcg - ptb_bl; ptb_bcg - ptb_ppd; ptb_bcg - rtb_bcg; ptb_bcg - rtb_bl; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd
392.698548038441,6.4612,2.5642e-07,6.5911,0.0047134,ptb_bcg - ltb_bcg; ptb_bl - ltb_bcg; sim_bcg - ltb_bcg; sim_bl - ltb_bcg; sim_ppd - ltb_bcg; ptb_bcg - ltb_bl; sim_ppd - ltb_bl; ptb_bcg - ltb_ppd; sim_ppd - ltb_ppd; ptb_bcg - ptb_bl; ptb_bcg - ptb_ppd; ptb_bcg - rtb_bcg; ptb_bcg - rtb_bl; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd; sim_ppd - ptb_ppd; sim_ppd - rtb_bcg; sim_ppd - rtb_bl; sim_ppd - rtb_ppd
712.644040411989,6.4439,2.674e-07,6.5728,0.0047134,ptb_ppd - ltb_bcg; rtb_bl - ltb_bcg; ptb_ppd - ltb_bl; rtb_bl - ltb_bl; rtb_bl - ltb_ppd; ptb_ppd - ptb_bcg; rtb_bl - ptb_bcg; rtb_bl - ptb_bl; ptb_ppd - rtb_bcg; rtb_bl - ptb_ppd; ptb_ppd - rtb_ppd; ptb_ppd - sim_bcg; ptb_ppd - sim_bl; ptb_ppd - sim_ppd; rtb_bl - rtb_bcg; rtb_bl - rtb_ppd; rtb_bl - sim_bcg; rtb_bl - sim_bl; rtb_bl - sim_ppd
1437.69295284623,6.3256,3.5646e-07,6.448,0.0053857,ptb_bcg - ltb_bcg; ptb_bcg - ltb_bl; ptb_bcg - ltb_ppd; ptb_bcg - ptb_bl; ptb_bcg - ptb_ppd; ptb_bcg - rtb_bcg; ptb_bcg - rtb_bl; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd
1281.62802345006,6.2699,4.085e-07,6.3888,0.0054004,ptb_bcg - ltb_bcg; ptb_bcg - ltb_bl; ptb_bcg - ltb_ppd; ptb_bcg - ptb_bl; ptb_bcg - ptb_ppd; ptb_bcg - rtb_bcg; ptb_bcg - rtb_bl; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd
793.653222065986,6.1806,5.085e-07,6.2937,0.0054644,ltb_ppd - ltb_bcg; ltb_ppd - ltb_bl; ltb_ppd - ptb_bcg; ltb_ppd - ptb_bl; ltb_ppd - ptb_ppd; ltb_ppd - rtb_bcg; ltb_ppd - rtb_bl; ltb_ppd - rtb_ppd; ltb_ppd - sim_bcg; ltb_ppd - sim_bl; ltb_ppd - sim_ppd
946.752949909957,6.1298,5.7634e-07,6.2393,0.0054644,ptb_bcg - ltb_bcg; ptb_bcg - ltb_bl; ptb_bcg - ltb_ppd; ptb_bcg - ptb_bl; ptb_bcg - ptb_ppd; ptb_bcg - rtb_bcg; ptb_bcg - rtb_bl; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd
